ds,Cid,item,units,y
19-02-2023,7704,cooking oil,Lt,230
19-02-2023,7706,cooking oil,Lt,122
19-02-2023,7716,cooking oil,Lt,162
19-02-2023,7721,cooking oil,Lt,222
19-02-2023,7726,cooking oil,Lt,129
19-02-2023,7730,cooking oil,Lt,121
19-02-2023,7743,cooking oil,Lt,137
19-02-2023,7746,cooking oil,Lt,214
19-02-2023,7755,cooking oil,Lt,206
19-02-2023,7883,cooking oil,Lt,155
19-02-2023,7925,cooking oil,Lt,171
19-02-2023,7939,cooking oil,Lt,233
19-02-2023,7944,cooking oil,Lt,166
19-02-2023,7959,cooking oil,Lt,194
19-02-2023,7970,cooking oil,Lt,215
19-02-2023,7977,cooking oil,Lt,196
19-02-2023,7983,cooking oil,Lt,222
19-02-2023,7994,cooking oil,Lt,250
19-02-2023,8012,cooking oil,Lt,232
19-02-2023,8028,cooking oil,Lt,183
19-02-2023,8037,cooking oil,Lt,175
19-02-2023,8175,cooking oil,Lt,227
19-02-2023,8196,cooking oil,Lt,224
19-02-2023,8205,cooking oil,Lt,241
19-02-2023,8208,cooking oil,Lt,186
19-02-2023,8213,cooking oil,Lt,232
19-02-2023,8215,cooking oil,Lt,144
19-02-2023,8219,cooking oil,Lt,209
19-02-2023,8226,cooking oil,Lt,211
19-02-2023,8226,cooking oil,Lt,221
19-02-2023,8232,cooking oil,Lt,161
19-02-2023,8233,cooking oil,Lt,250
19-02-2023,8233,cooking oil,Lt,221
19-02-2023,8302,cooking oil,Lt,191
19-02-2023,8321,cooking oil,Lt,215
19-02-2023,8327,cooking oil,Lt,161
19-02-2023,8330,cooking oil,Lt,213
19-02-2023,8341,cooking oil,Lt,213
19-02-2023,8353,cooking oil,Lt,210
19-02-2023,8368,cooking oil,Lt,174
19-02-2023,8401,cooking oil,Lt,145
19-02-2023,8403,cooking oil,Lt,219
19-02-2023,8420,cooking oil,Lt,186
19-02-2023,8424,cooking oil,Lt,214
19-02-2023,8425,cooking oil,Lt,177
19-02-2023,8568,cooking oil,Lt,197
19-02-2023,8581,cooking oil,Lt,193
19-02-2023,8592,cooking oil,Lt,227
19-02-2023,8596,cooking oil,Lt,245
19-02-2023,8599,cooking oil,Lt,182
19-02-2023,8609,cooking oil,Lt,224
19-02-2023,8614,cooking oil,Lt,216
19-02-2023,8619,cooking oil,Lt,228
19-02-2023,8619,cooking oil,Lt,191
19-02-2023,8622,cooking oil,Lt,249
19-02-2023,8622,cooking oil,Lt,126
19-02-2023,8625,cooking oil,Lt,176
19-02-2023,8659,cooking oil,Lt,145
19-02-2023,8667,cooking oil,Lt,180
19-02-2023,8667,cooking oil,Lt,156
19-02-2023,8668,cooking oil,Lt,153
19-02-2023,8692,cooking oil,Lt,168
19-02-2023,8701,cooking oil,Lt,200
19-02-2023,8720,cooking oil,Lt,191
19-02-2023,8747,cooking oil,Lt,135
19-02-2023,8759,cooking oil,Lt,180
19-02-2023,8770,cooking oil,Lt,139
19-02-2023,8776,cooking oil,Lt,146
19-02-2023,8776,cooking oil,Lt,138
19-02-2023,8920,cooking oil,Lt,154
19-02-2023,8934,cooking oil,Lt,212
19-02-2023,8943,cooking oil,Lt,160
19-02-2023,8946,cooking oil,Lt,165
19-02-2023,8949,cooking oil,Lt,246
19-02-2023,8963,cooking oil,Lt,204
19-02-2023,8966,cooking oil,Lt,123
19-02-2023,8971,cooking oil,Lt,154
19-02-2023,8972,cooking oil,Lt,144
19-02-2023,8979,cooking oil,Lt,216
19-02-2023,8985,cooking oil,Lt,224
19-02-2023,8989,cooking oil,Lt,248
19-02-2023,9060,cooking oil,Lt,158
19-02-2023,9102,cooking oil,Lt,128
19-02-2023,9107,cooking oil,Lt,229
19-02-2023,9107,cooking oil,Lt,139
19-02-2023,9123,cooking oil,Lt,224
19-02-2023,9132,cooking oil,Lt,211
19-02-2023,9144,cooking oil,Lt,162
19-02-2023,9164,cooking oil,Lt,184
19-02-2023,9164,cooking oil,Lt,169
19-02-2023,9179,cooking oil,Lt,141
19-02-2023,9182,cooking oil,Lt,159
19-02-2023,9186,cooking oil,Lt,162
19-02-2023,9286,cooking oil,Lt,147
19-02-2023,9298,cooking oil,Lt,240
19-02-2023,9307,cooking oil,Lt,134
19-02-2023,9308,cooking oil,Lt,236
19-02-2023,9309,cooking oil,Lt,161
19-02-2023,9316,cooking oil,Lt,236
19-02-2023,9321,cooking oil,Lt,225
19-02-2023,9328,cooking oil,Lt,203
19-02-2023,9328,cooking oil,Lt,175
19-02-2023,9330,cooking oil,Lt,241
19-02-2023,9341,cooking oil,Lt,178
19-02-2023,9341,cooking oil,Lt,225
19-02-2023,9463,cooking oil,Lt,136
19-02-2023,9486,cooking oil,Lt,246
19-02-2023,9488,cooking oil,Lt,183
19-02-2023,9488,cooking oil,Lt,141
19-02-2023,9489,cooking oil,Lt,130
19-02-2023,9490,cooking oil,Lt,145
19-02-2023,9502,cooking oil,Lt,205
19-02-2023,9519,cooking oil,Lt,183
19-02-2023,9519,cooking oil,Lt,189
19-02-2023,9547,cooking oil,Lt,243
19-02-2023,9652,cooking oil,Lt,127
19-02-2023,9693,cooking oil,Lt,208
19-02-2023,9693,cooking oil,Lt,142
19-02-2023,9702,cooking oil,Lt,205
19-02-2023,9706,cooking oil,Lt,239
19-02-2023,9717,cooking oil,Lt,210
19-02-2023,9837,cooking oil,Lt,238
19-02-2023,9853,cooking oil,Lt,164
19-02-2023,9859,cooking oil,Lt,221
19-02-2023,9936,cooking oil,Lt,208
19-02-2023,9956,cooking oil,Lt,191
19-02-2023,9970,cooking oil,Lt,209
19-02-2023,10057,cooking oil,Lt,207
19-02-2023,10082,cooking oil,Lt,223
19-02-2023,10099,cooking oil,Lt,130
19-02-2023,10113,cooking oil,Lt,228
19-02-2023,10128,cooking oil,Lt,216
19-02-2023,10268,cooking oil,Lt,208
19-02-2023,10300,cooking oil,Lt,167
19-02-2023,10311,cooking oil,Lt,195
19-02-2023,10322,cooking oil,Lt,129
19-02-2023,10458,cooking oil,Lt,202
19-02-2023,10615,cooking oil,Lt,150
19-02-2023,10629,cooking oil,Lt,203
20-02-2023,7,cooking oil,Lt,237
20-02-2023,15,cooking oil,Lt,146
20-02-2023,24,cooking oil,Lt,127
20-02-2023,37,cooking oil,Lt,246
20-02-2023,46,cooking oil,Lt,159
20-02-2023,47,cooking oil,Lt,131
20-02-2023,47,cooking oil,Lt,137
20-02-2023,60,cooking oil,Lt,155
20-02-2023,62,cooking oil,Lt,170
20-02-2023,65,cooking oil,Lt,147
20-02-2023,65,cooking oil,Lt,178
20-02-2023,82,cooking oil,Lt,198
20-02-2023,82,cooking oil,Lt,178
20-02-2023,89,cooking oil,Lt,212
20-02-2023,195,cooking oil,Lt,247
20-02-2023,202,cooking oil,Lt,122
20-02-2023,224,cooking oil,Lt,179
20-02-2023,229,cooking oil,Lt,234
20-02-2023,231,cooking oil,Lt,143
20-02-2023,234,cooking oil,Lt,144
20-02-2023,236,cooking oil,Lt,147
20-02-2023,236,cooking oil,Lt,137
20-02-2023,251,cooking oil,Lt,126
20-02-2023,253,cooking oil,Lt,240
20-02-2023,269,cooking oil,Lt,229
20-02-2023,269,cooking oil,Lt,197
20-02-2023,294,cooking oil,Lt,124
20-02-2023,294,cooking oil,Lt,171
20-02-2023,296,cooking oil,Lt,228
20-02-2023,362,cooking oil,Lt,245
20-02-2023,390,cooking oil,Lt,177
20-02-2023,429,cooking oil,Lt,172
20-02-2023,434,cooking oil,Lt,216
20-02-2023,434,cooking oil,Lt,233
20-02-2023,450,cooking oil,Lt,151
20-02-2023,457,cooking oil,Lt,165
20-02-2023,469,cooking oil,Lt,219
20-02-2023,469,cooking oil,Lt,219
20-02-2023,483,cooking oil,Lt,197
20-02-2023,483,cooking oil,Lt,202
20-02-2023,483,cooking oil,Lt,239
20-02-2023,567,cooking oil,Lt,123
20-02-2023,582,cooking oil,Lt,139
20-02-2023,592,cooking oil,Lt,217
20-02-2023,595,cooking oil,Lt,192
20-02-2023,600,cooking oil,Lt,134
20-02-2023,602,cooking oil,Lt,227
20-02-2023,611,cooking oil,Lt,185
20-02-2023,614,cooking oil,Lt,157
20-02-2023,640,cooking oil,Lt,164
20-02-2023,640,cooking oil,Lt,141
20-02-2023,672,cooking oil,Lt,135
20-02-2023,674,cooking oil,Lt,184
20-02-2023,675,cooking oil,Lt,154
20-02-2023,741,cooking oil,Lt,151
20-02-2023,802,cooking oil,Lt,217
20-02-2023,807,cooking oil,Lt,192
20-02-2023,817,cooking oil,Lt,189
20-02-2023,824,cooking oil,Lt,172
20-02-2023,824,cooking oil,Lt,136
20-02-2023,824,cooking oil,Lt,135
20-02-2023,836,cooking oil,Lt,148
20-02-2023,856,cooking oil,Lt,211
20-02-2023,931,cooking oil,Lt,200
20-02-2023,937,cooking oil,Lt,243
20-02-2023,952,cooking oil,Lt,211
20-02-2023,965,cooking oil,Lt,198
20-02-2023,971,cooking oil,Lt,250
20-02-2023,988,cooking oil,Lt,241
20-02-2023,988,cooking oil,Lt,135
20-02-2023,990,cooking oil,Lt,123
20-02-2023,1010,cooking oil,Lt,187
20-02-2023,1012,cooking oil,Lt,187
20-02-2023,1019,cooking oil,Lt,152
20-02-2023,1020,cooking oil,Lt,182
20-02-2023,1041,cooking oil,Lt,189
20-02-2023,1041,cooking oil,Lt,169
20-02-2023,1041,cooking oil,Lt,213
20-02-2023,1117,cooking oil,Lt,204
20-02-2023,1136,cooking oil,Lt,200
20-02-2023,1156,cooking oil,Lt,190
20-02-2023,1172,cooking oil,Lt,161
20-02-2023,1177,cooking oil,Lt,168
20-02-2023,1177,cooking oil,Lt,179
20-02-2023,1178,cooking oil,Lt,159
20-02-2023,1185,cooking oil,Lt,161
20-02-2023,1203,cooking oil,Lt,195
20-02-2023,1213,cooking oil,Lt,133
20-02-2023,1214,cooking oil,Lt,147
20-02-2023,1240,cooking oil,Lt,186
20-02-2023,1240,cooking oil,Lt,132
20-02-2023,1243,cooking oil,Lt,140
20-02-2023,1247,cooking oil,Lt,247
20-02-2023,1248,cooking oil,Lt,230
20-02-2023,1346,cooking oil,Lt,141
20-02-2023,1351,cooking oil,Lt,223
20-02-2023,1357,cooking oil,Lt,193
20-02-2023,1369,cooking oil,Lt,222
20-02-2023,1379,cooking oil,Lt,226
20-02-2023,1380,cooking oil,Lt,132
20-02-2023,1380,cooking oil,Lt,223
20-02-2023,1381,cooking oil,Lt,120
20-02-2023,1399,cooking oil,Lt,185
20-02-2023,1399,cooking oil,Lt,169
20-02-2023,1409,cooking oil,Lt,221
20-02-2023,1409,cooking oil,Lt,146
20-02-2023,1428,cooking oil,Lt,239
20-02-2023,1429,cooking oil,Lt,192
20-02-2023,1434,cooking oil,Lt,227
20-02-2023,1542,cooking oil,Lt,223
20-02-2023,1579,cooking oil,Lt,240
20-02-2023,1612,cooking oil,Lt,224
20-02-2023,1635,cooking oil,Lt,174
20-02-2023,1636,cooking oil,Lt,184
20-02-2023,1636,cooking oil,Lt,238
20-02-2023,1641,cooking oil,Lt,139
20-02-2023,1651,cooking oil,Lt,218
20-02-2023,1652,cooking oil,Lt,206
20-02-2023,1653,cooking oil,Lt,200
20-02-2023,1655,cooking oil,Lt,200
20-02-2023,1670,cooking oil,Lt,184
20-02-2023,1670,cooking oil,Lt,131
20-02-2023,1685,cooking oil,Lt,122
20-02-2023,1699,cooking oil,Lt,194
20-02-2023,1705,cooking oil,Lt,242
20-02-2023,1788,cooking oil,Lt,246
20-02-2023,1796,cooking oil,Lt,217
20-02-2023,1802,cooking oil,Lt,163
20-02-2023,1817,cooking oil,Lt,162
20-02-2023,1830,cooking oil,Lt,125
20-02-2023,1834,cooking oil,Lt,233
20-02-2023,1843,cooking oil,Lt,146
20-02-2023,1843,cooking oil,Lt,217
20-02-2023,1846,cooking oil,Lt,210
20-02-2023,1846,cooking oil,Lt,203
20-02-2023,1857,cooking oil,Lt,235
20-02-2023,1857,cooking oil,Lt,190
20-02-2023,1859,cooking oil,Lt,218
20-02-2023,1863,cooking oil,Lt,200
20-02-2023,1863,cooking oil,Lt,221
20-02-2023,1866,cooking oil,Lt,221
20-02-2023,1934,cooking oil,Lt,205
20-02-2023,1958,cooking oil,Lt,217
20-02-2023,2018,cooking oil,Lt,132
20-02-2023,2029,cooking oil,Lt,180
20-02-2023,2030,cooking oil,Lt,212
20-02-2023,2030,cooking oil,Lt,207
20-02-2023,2030,cooking oil,Lt,156
20-02-2023,2032,cooking oil,Lt,142
20-02-2023,2034,cooking oil,Lt,122
20-02-2023,2046,cooking oil,Lt,153
20-02-2023,2060,cooking oil,Lt,236
20-02-2023,2068,cooking oil,Lt,156
20-02-2023,2071,cooking oil,Lt,195
20-02-2023,2092,cooking oil,Lt,131
20-02-2023,2095,cooking oil,Lt,137
20-02-2023,2115,cooking oil,Lt,227
20-02-2023,2123,cooking oil,Lt,154
20-02-2023,2132,cooking oil,Lt,153
20-02-2023,2246,cooking oil,Lt,244
20-02-2023,2260,cooking oil,Lt,204
20-02-2023,2263,cooking oil,Lt,136
20-02-2023,2267,cooking oil,Lt,171
20-02-2023,2306,cooking oil,Lt,248
20-02-2023,2314,cooking oil,Lt,198
20-02-2023,2317,cooking oil,Lt,188
20-02-2023,2317,cooking oil,Lt,227
20-02-2023,2331,cooking oil,Lt,171
20-02-2023,2344,cooking oil,Lt,236
20-02-2023,2350,cooking oil,Lt,243
20-02-2023,2491,cooking oil,Lt,143
20-02-2023,2494,cooking oil,Lt,233
20-02-2023,2495,cooking oil,Lt,148
20-02-2023,2515,cooking oil,Lt,245
20-02-2023,2520,cooking oil,Lt,198
20-02-2023,2523,cooking oil,Lt,150
20-02-2023,2530,cooking oil,Lt,152
20-02-2023,2531,cooking oil,Lt,137
20-02-2023,2531,cooking oil,Lt,213
20-02-2023,2609,cooking oil,Lt,249
20-02-2023,2609,cooking oil,Lt,211
20-02-2023,2609,cooking oil,Lt,186
20-02-2023,2627,cooking oil,Lt,141
20-02-2023,2639,cooking oil,Lt,176
20-02-2023,2642,cooking oil,Lt,134
20-02-2023,2650,cooking oil,Lt,163
20-02-2023,2652,cooking oil,Lt,171
20-02-2023,2654,cooking oil,Lt,216
20-02-2023,2881,cooking oil,Lt,238
20-02-2023,2882,cooking oil,Lt,247
20-02-2023,2885,cooking oil,Lt,140
20-02-2023,2900,cooking oil,Lt,177
20-02-2023,2901,cooking oil,Lt,129
20-02-2023,2930,cooking oil,Lt,238
20-02-2023,2949,cooking oil,Lt,165
20-02-2023,2956,cooking oil,Lt,216
20-02-2023,3030,cooking oil,Lt,159
20-02-2023,3041,cooking oil,Lt,160
20-02-2023,3050,cooking oil,Lt,188
20-02-2023,3057,cooking oil,Lt,232
20-02-2023,3082,cooking oil,Lt,227
20-02-2023,3100,cooking oil,Lt,250
20-02-2023,3109,cooking oil,Lt,242
20-02-2023,3109,cooking oil,Lt,237
20-02-2023,3119,cooking oil,Lt,235
20-02-2023,3119,cooking oil,Lt,131
20-02-2023,3127,cooking oil,Lt,235
20-02-2023,3127,cooking oil,Lt,168
20-02-2023,3140,cooking oil,Lt,241
20-02-2023,3140,cooking oil,Lt,166
20-02-2023,3140,cooking oil,Lt,242
20-02-2023,3140,cooking oil,Lt,178
20-02-2023,3222,cooking oil,Lt,146
20-02-2023,3259,cooking oil,Lt,203
20-02-2023,3314,cooking oil,Lt,242
20-02-2023,3327,cooking oil,Lt,172
20-02-2023,3333,cooking oil,Lt,175
20-02-2023,3333,cooking oil,Lt,228
20-02-2023,3338,cooking oil,Lt,220
20-02-2023,3338,cooking oil,Lt,143
20-02-2023,3338,cooking oil,Lt,149
20-02-2023,3347,cooking oil,Lt,183
20-02-2023,3352,cooking oil,Lt,187
20-02-2023,3357,cooking oil,Lt,242
20-02-2023,3357,cooking oil,Lt,167
20-02-2023,3371,cooking oil,Lt,231
20-02-2023,3371,cooking oil,Lt,202
