ds,Item,units,y
21-01-2022,sugar,KG,170
21-01-2022,sugar,KG,116
21-01-2022,sugar,KG,161
21-01-2022,sugar,KG,166
21-01-2022,sugar,KG,107
21-01-2022,sugar,KG,63
21-01-2022,sugar,KG,160
21-01-2022,sugar,KG,105
21-01-2022,sugar,KG,130
21-01-2022,sugar,KG,110
21-01-2022,sugar,KG,137
21-01-2022,sugar,KG,178
21-01-2022,sugar,KG,172
21-01-2022,sugar,KG,128
21-01-2022,sugar,KG,111
21-01-2022,sugar,KG,181
21-01-2022,sugar,KG,71
21-01-2022,sugar,KG,141
21-01-2022,sugar,KG,104
21-01-2022,sugar,KG,56
21-01-2022,sugar,KG,199
21-01-2022,sugar,KG,97
21-01-2022,sugar,KG,168
22-01-2022,sugar,KG,93
22-01-2022,sugar,KG,143
22-01-2022,sugar,KG,70
22-01-2022,sugar,KG,52
22-01-2022,sugar,KG,189
22-01-2022,sugar,KG,142
22-01-2022,sugar,KG,76
22-01-2022,sugar,KG,77
22-01-2022,sugar,KG,55
22-01-2022,sugar,KG,196
22-01-2022,sugar,KG,104
22-01-2022,sugar,KG,53
23-01-2022,sugar,KG,151
23-01-2022,sugar,KG,84
23-01-2022,sugar,KG,82
23-01-2022,sugar,KG,91
23-01-2022,sugar,KG,123
23-01-2022,sugar,KG,95
23-01-2022,sugar,KG,107
23-01-2022,sugar,KG,123
24-01-2022,sugar,KG,101
24-01-2022,sugar,KG,75
24-01-2022,sugar,KG,131
24-01-2022,sugar,KG,101
24-01-2022,sugar,KG,98
24-01-2022,sugar,KG,181
24-01-2022,sugar,KG,185
24-01-2022,sugar,KG,135
24-01-2022,sugar,KG,109
24-01-2022,sugar,KG,127
24-01-2022,sugar,KG,78
24-01-2022,sugar,KG,81
24-01-2022,sugar,KG,131
25-01-2022,sugar,KG,53
25-01-2022,sugar,KG,170
25-01-2022,sugar,KG,72
25-01-2022,sugar,KG,186
25-01-2022,sugar,KG,136
25-01-2022,sugar,KG,192
25-01-2022,sugar,KG,161
25-01-2022,sugar,KG,181
25-01-2022,sugar,KG,72
25-01-2022,sugar,KG,157
25-01-2022,sugar,KG,90
25-01-2022,sugar,KG,180
25-01-2022,sugar,KG,99
26-01-2022,sugar,KG,155
26-01-2022,sugar,KG,101
26-01-2022,sugar,KG,125
26-01-2022,sugar,KG,53
26-01-2022,sugar,KG,142
27-01-2022,sugar,KG,135
27-01-2022,sugar,KG,184
27-01-2022,sugar,KG,118
27-01-2022,sugar,KG,77
27-01-2022,sugar,KG,120
27-01-2022,sugar,KG,61
27-01-2022,sugar,KG,114
27-01-2022,sugar,KG,157
27-01-2022,sugar,KG,169
27-01-2022,sugar,KG,51
27-01-2022,sugar,KG,116
27-01-2022,sugar,KG,107
27-01-2022,sugar,KG,146
27-01-2022,sugar,KG,152
27-01-2022,sugar,KG,186
28-01-2022,sugar,KG,123
28-01-2022,sugar,KG,129
28-01-2022,sugar,KG,64
28-01-2022,sugar,KG,128
28-01-2022,sugar,KG,124
28-01-2022,sugar,KG,59
28-01-2022,sugar,KG,87
28-01-2022,sugar,KG,180
28-01-2022,sugar,KG,175
28-01-2022,sugar,KG,164
28-01-2022,sugar,KG,196
28-01-2022,sugar,KG,135
28-01-2022,sugar,KG,78
29-01-2022,sugar,KG,59
29-01-2022,sugar,KG,179
29-01-2022,sugar,KG,173
29-01-2022,sugar,KG,54
29-01-2022,sugar,KG,106
29-01-2022,sugar,KG,184
29-01-2022,sugar,KG,125
29-01-2022,sugar,KG,96
30-01-2022,sugar,KG,158
30-01-2022,sugar,KG,129
30-01-2022,sugar,KG,65
30-01-2022,sugar,KG,116
30-01-2022,sugar,KG,124
30-01-2022,sugar,KG,139
30-01-2022,sugar,KG,62
30-01-2022,sugar,KG,126
31-01-2022,sugar,KG,124
31-01-2022,sugar,KG,102
31-01-2022,sugar,KG,145
31-01-2022,sugar,KG,119
31-01-2022,sugar,KG,175
31-01-2022,sugar,KG,127
31-01-2022,sugar,KG,133
31-01-2022,sugar,KG,192
31-01-2022,sugar,KG,119
01-02-2022,sugar,KG,61
01-02-2022,sugar,KG,200
01-02-2022,sugar,KG,99
01-02-2022,sugar,KG,192
01-02-2022,sugar,KG,199
01-02-2022,sugar,KG,82
01-02-2022,sugar,KG,194
01-02-2022,sugar,KG,58
01-02-2022,sugar,KG,87
01-02-2022,sugar,KG,95
01-02-2022,sugar,KG,122
01-02-2022,sugar,KG,180
01-02-2022,sugar,KG,174
01-02-2022,sugar,KG,188
01-02-2022,sugar,KG,191
01-02-2022,sugar,KG,177
01-02-2022,sugar,KG,189
02-02-2022,sugar,KG,62
02-02-2022,sugar,KG,95
02-02-2022,sugar,KG,147
02-02-2022,sugar,KG,158
02-02-2022,sugar,KG,200
02-02-2022,sugar,KG,136
02-02-2022,sugar,KG,149
03-02-2022,sugar,KG,150
03-02-2022,sugar,KG,100
03-02-2022,sugar,KG,140
03-02-2022,sugar,KG,129
03-02-2022,sugar,KG,146
03-02-2022,sugar,KG,103
03-02-2022,sugar,KG,70
03-02-2022,sugar,KG,145
03-02-2022,sugar,KG,125
03-02-2022,sugar,KG,142
03-02-2022,sugar,KG,186
04-02-2022,sugar,KG,186
04-02-2022,sugar,KG,115
04-02-2022,sugar,KG,149
04-02-2022,sugar,KG,126
04-02-2022,sugar,KG,149
04-02-2022,sugar,KG,101
04-02-2022,sugar,KG,164
04-02-2022,sugar,KG,112
04-02-2022,sugar,KG,121
04-02-2022,sugar,KG,199
04-02-2022,sugar,KG,54
04-02-2022,sugar,KG,62
04-02-2022,sugar,KG,87
04-02-2022,sugar,KG,86
05-02-2022,sugar,KG,89
05-02-2022,sugar,KG,179
05-02-2022,sugar,KG,163
05-02-2022,sugar,KG,162
05-02-2022,sugar,KG,133
05-02-2022,sugar,KG,129
05-02-2022,sugar,KG,56
05-02-2022,sugar,KG,145
06-02-2022,sugar,KG,114
06-02-2022,sugar,KG,95
06-02-2022,sugar,KG,110
06-02-2022,sugar,KG,91
06-02-2022,sugar,KG,167
06-02-2022,sugar,KG,183
06-02-2022,sugar,KG,187
06-02-2022,sugar,KG,75
06-02-2022,sugar,KG,187
06-02-2022,sugar,KG,58
07-02-2022,sugar,KG,148
07-02-2022,sugar,KG,178
07-02-2022,sugar,KG,87
07-02-2022,sugar,KG,55
07-02-2022,sugar,KG,116
07-02-2022,sugar,KG,103
07-02-2022,sugar,KG,184
07-02-2022,sugar,KG,185
07-02-2022,sugar,KG,94
08-02-2022,sugar,KG,81
08-02-2022,sugar,KG,77
08-02-2022,sugar,KG,59
08-02-2022,sugar,KG,135
08-02-2022,sugar,KG,167
08-02-2022,sugar,KG,54
08-02-2022,sugar,KG,145
08-02-2022,sugar,KG,75
08-02-2022,sugar,KG,119
08-02-2022,sugar,KG,73
08-02-2022,sugar,KG,78
08-02-2022,sugar,KG,68
09-02-2022,sugar,KG,140
09-02-2022,sugar,KG,95
09-02-2022,sugar,KG,54
09-02-2022,sugar,KG,101
09-02-2022,sugar,KG,160
09-02-2022,sugar,KG,195
09-02-2022,sugar,KG,150
09-02-2022,sugar,KG,149
09-02-2022,sugar,KG,159
10-02-2022,sugar,KG,64
10-02-2022,sugar,KG,146
10-02-2022,sugar,KG,128
10-02-2022,sugar,KG,95
10-02-2022,sugar,KG,58
10-02-2022,sugar,KG,172
10-02-2022,sugar,KG,105
10-02-2022,sugar,KG,186
10-02-2022,sugar,KG,173
10-02-2022,sugar,KG,125
10-02-2022,sugar,KG,110
10-02-2022,sugar,KG,187
10-02-2022,sugar,KG,165
10-02-2022,sugar,KG,113
11-02-2022,sugar,KG,166
11-02-2022,sugar,KG,134
11-02-2022,sugar,KG,199
11-02-2022,sugar,KG,90
11-02-2022,sugar,KG,159
11-02-2022,sugar,KG,168
11-02-2022,sugar,KG,145
11-02-2022,sugar,KG,67
11-02-2022,sugar,KG,80
11-02-2022,sugar,KG,56
11-02-2022,sugar,KG,67
11-02-2022,sugar,KG,125
12-02-2022,sugar,KG,82
12-02-2022,sugar,KG,146
12-02-2022,sugar,KG,196
12-02-2022,sugar,KG,100
12-02-2022,sugar,KG,186
12-02-2022,sugar,KG,125
12-02-2022,sugar,KG,79
12-02-2022,sugar,KG,87
12-02-2022,sugar,KG,144
12-02-2022,sugar,KG,125
12-02-2022,sugar,KG,155
12-02-2022,sugar,KG,183
12-02-2022,sugar,KG,175
13-02-2022,sugar,KG,95
13-02-2022,sugar,KG,136
13-02-2022,sugar,KG,175
13-02-2022,sugar,KG,180
13-02-2022,sugar,KG,159
13-02-2022,sugar,KG,51
13-02-2022,sugar,KG,75
13-02-2022,sugar,KG,163
13-02-2022,sugar,KG,81
13-02-2022,sugar,KG,96
13-02-2022,sugar,KG,151
13-02-2022,sugar,KG,73
13-02-2022,sugar,KG,168
13-02-2022,sugar,KG,79
14-02-2022,sugar,KG,95
14-02-2022,sugar,KG,119
14-02-2022,sugar,KG,126
14-02-2022,sugar,KG,77
14-02-2022,sugar,KG,171
14-02-2022,sugar,KG,115
14-02-2022,sugar,KG,137
14-02-2022,sugar,KG,142
14-02-2022,sugar,KG,79
14-02-2022,sugar,KG,110
14-02-2022,sugar,KG,131
14-02-2022,sugar,KG,126
14-02-2022,sugar,KG,165
14-02-2022,sugar,KG,167
14-02-2022,sugar,KG,61
14-02-2022,sugar,KG,56
14-02-2022,sugar,KG,104
15-02-2022,sugar,KG,69
15-02-2022,sugar,KG,134
15-02-2022,sugar,KG,73
15-02-2022,sugar,KG,127
15-02-2022,sugar,KG,65
15-02-2022,sugar,KG,64
15-02-2022,sugar,KG,115
15-02-2022,sugar,KG,139
15-02-2022,sugar,KG,107
15-02-2022,sugar,KG,69
15-02-2022,sugar,KG,130
16-02-2022,sugar,KG,200
16-02-2022,sugar,KG,150
16-02-2022,sugar,KG,74
16-02-2022,sugar,KG,143
16-02-2022,sugar,KG,118
16-02-2022,sugar,KG,100
16-02-2022,sugar,KG,168
17-02-2022,sugar,KG,62
17-02-2022,sugar,KG,151
17-02-2022,sugar,KG,55
17-02-2022,sugar,KG,183
17-02-2022,sugar,KG,188
17-02-2022,sugar,KG,196
17-02-2022,sugar,KG,161
17-02-2022,sugar,KG,198
17-02-2022,sugar,KG,194
17-02-2022,sugar,KG,60
17-02-2022,sugar,KG,62
17-02-2022,sugar,KG,151
17-02-2022,sugar,KG,115
18-02-2022,sugar,KG,197
18-02-2022,sugar,KG,120
18-02-2022,sugar,KG,160
18-02-2022,sugar,KG,89
18-02-2022,sugar,KG,126
18-02-2022,sugar,KG,113
18-02-2022,sugar,KG,116
18-02-2022,sugar,KG,113
18-02-2022,sugar,KG,105
19-02-2022,sugar,KG,150
19-02-2022,sugar,KG,175
19-02-2022,sugar,KG,199
19-02-2022,sugar,KG,200
19-02-2022,sugar,KG,106
19-02-2022,sugar,KG,171
20-02-2022,sugar,KG,198
20-02-2022,sugar,KG,117
20-02-2022,sugar,KG,185
20-02-2022,sugar,KG,136
20-02-2022,sugar,KG,121
20-02-2022,sugar,KG,62
21-02-2022,sugar,KG,103
21-02-2022,sugar,KG,183
21-02-2022,sugar,KG,127
21-02-2022,sugar,KG,113
21-02-2022,sugar,KG,127
21-02-2022,sugar,KG,101
21-02-2022,sugar,KG,102
21-02-2022,sugar,KG,82
21-02-2022,sugar,KG,56
22-02-2022,sugar,KG,161
22-02-2022,sugar,KG,98
22-02-2022,sugar,KG,54
22-02-2022,sugar,KG,195
22-02-2022,sugar,KG,195
22-02-2022,sugar,KG,162
22-02-2022,sugar,KG,196
22-02-2022,sugar,KG,186
22-02-2022,sugar,KG,57
22-02-2022,sugar,KG,131
22-02-2022,sugar,KG,123
22-02-2022,sugar,KG,105
23-02-2022,sugar,KG,128
23-02-2022,sugar,KG,164
23-02-2022,sugar,KG,62
23-02-2022,sugar,KG,190
23-02-2022,sugar,KG,200
23-02-2022,sugar,KG,186
23-02-2022,sugar,KG,56
23-02-2022,sugar,KG,81
23-02-2022,sugar,KG,135
23-02-2022,sugar,KG,84
24-02-2022,sugar,KG,124
24-02-2022,sugar,KG,190
24-02-2022,sugar,KG,66
24-02-2022,sugar,KG,141
24-02-2022,sugar,KG,84
24-02-2022,sugar,KG,131
24-02-2022,sugar,KG,181
24-02-2022,sugar,KG,79
24-02-2022,sugar,KG,196
25-02-2022,sugar,KG,134
25-02-2022,sugar,KG,104
25-02-2022,sugar,KG,153
25-02-2022,sugar,KG,196
25-02-2022,sugar,KG,64
25-02-2022,sugar,KG,61
25-02-2022,sugar,KG,179
25-02-2022,sugar,KG,128
25-02-2022,sugar,KG,87
26-02-2022,sugar,KG,93
26-02-2022,sugar,KG,83
26-02-2022,sugar,KG,118
26-02-2022,sugar,KG,111
26-02-2022,sugar,KG,137
26-02-2022,sugar,KG,90
26-02-2022,sugar,KG,126
26-02-2022,sugar,KG,130
26-02-2022,sugar,KG,143
26-02-2022,sugar,KG,152
26-02-2022,sugar,KG,190
26-02-2022,sugar,KG,106
26-02-2022,sugar,KG,109
26-02-2022,sugar,KG,57
26-02-2022,sugar,KG,158
26-02-2022,sugar,KG,149
26-02-2022,sugar,KG,112
26-02-2022,sugar,KG,63
26-02-2022,sugar,KG,169
27-02-2022,sugar,KG,180
27-02-2022,sugar,KG,182
27-02-2022,sugar,KG,194
27-02-2022,sugar,KG,118
27-02-2022,sugar,KG,58
27-02-2022,sugar,KG,77
27-02-2022,sugar,KG,199
27-02-2022,sugar,KG,112
27-02-2022,sugar,KG,123
27-02-2022,sugar,KG,135
27-02-2022,sugar,KG,193
27-02-2022,sugar,KG,164
28-02-2022,sugar,KG,81
28-02-2022,sugar,KG,106
28-02-2022,sugar,KG,121
28-02-2022,sugar,KG,100
28-02-2022,sugar,KG,174
28-02-2022,sugar,KG,193
28-02-2022,sugar,KG,124
28-02-2022,sugar,KG,111
28-02-2022,sugar,KG,77
28-02-2022,sugar,KG,60
01-03-2022,sugar,KG,146
01-03-2022,sugar,KG,196
01-03-2022,sugar,KG,104
01-03-2022,sugar,KG,71
01-03-2022,sugar,KG,80
01-03-2022,sugar,KG,188
01-03-2022,sugar,KG,136
01-03-2022,sugar,KG,97
01-03-2022,sugar,KG,180
01-03-2022,sugar,KG,152
01-03-2022,sugar,KG,156
01-03-2022,sugar,KG,64
01-03-2022,sugar,KG,106
01-03-2022,sugar,KG,107
01-03-2022,sugar,KG,81
01-03-2022,sugar,KG,139
01-03-2022,sugar,KG,89
02-03-2022,sugar,KG,59
02-03-2022,sugar,KG,193
02-03-2022,sugar,KG,160
02-03-2022,sugar,KG,189
02-03-2022,sugar,KG,71
02-03-2022,sugar,KG,106
02-03-2022,sugar,KG,156
02-03-2022,sugar,KG,109
02-03-2022,sugar,KG,151
02-03-2022,sugar,KG,86
02-03-2022,sugar,KG,193
02-03-2022,sugar,KG,108
02-03-2022,sugar,KG,101
02-03-2022,sugar,KG,96
02-03-2022,sugar,KG,58
02-03-2022,sugar,KG,85
02-03-2022,sugar,KG,57
02-03-2022,sugar,KG,141
02-03-2022,sugar,KG,172
02-03-2022,sugar,KG,157
02-03-2022,sugar,KG,72
02-03-2022,sugar,KG,157
03-03-2022,sugar,KG,133
03-03-2022,sugar,KG,176
03-03-2022,sugar,KG,133
03-03-2022,sugar,KG,166
03-03-2022,sugar,KG,192
03-03-2022,sugar,KG,109
03-03-2022,sugar,KG,90
03-03-2022,sugar,KG,105
03-03-2022,sugar,KG,107
04-03-2022,sugar,KG,153
04-03-2022,sugar,KG,79
04-03-2022,sugar,KG,72
04-03-2022,sugar,KG,195
04-03-2022,sugar,KG,76
04-03-2022,sugar,KG,59
04-03-2022,sugar,KG,84
04-03-2022,sugar,KG,190
04-03-2022,sugar,KG,123
04-03-2022,sugar,KG,55
04-03-2022,sugar,KG,145
04-03-2022,sugar,KG,160
04-03-2022,sugar,KG,76
04-03-2022,sugar,KG,92
04-03-2022,sugar,KG,189
04-03-2022,sugar,KG,193
05-03-2022,sugar,KG,65
05-03-2022,sugar,KG,133
05-03-2022,sugar,KG,138
05-03-2022,sugar,KG,200
05-03-2022,sugar,KG,147
05-03-2022,sugar,KG,93
05-03-2022,sugar,KG,154
05-03-2022,sugar,KG,188
05-03-2022,sugar,KG,131
05-03-2022,sugar,KG,131
05-03-2022,sugar,KG,77
05-03-2022,sugar,KG,143
05-03-2022,sugar,KG,120
05-03-2022,sugar,KG,86
06-03-2022,sugar,KG,138
06-03-2022,sugar,KG,178
06-03-2022,sugar,KG,171
06-03-2022,sugar,KG,63
06-03-2022,sugar,KG,147
06-03-2022,sugar,KG,157
06-03-2022,sugar,KG,154
06-03-2022,sugar,KG,98
06-03-2022,sugar,KG,111
06-03-2022,sugar,KG,84
07-03-2022,sugar,KG,77
07-03-2022,sugar,KG,74
07-03-2022,sugar,KG,95
07-03-2022,sugar,KG,85
07-03-2022,sugar,KG,56
07-03-2022,sugar,KG,63
07-03-2022,sugar,KG,88
07-03-2022,sugar,KG,79
07-03-2022,sugar,KG,79
07-03-2022,sugar,KG,186
08-03-2022,sugar,KG,132
08-03-2022,sugar,KG,171
08-03-2022,sugar,KG,148
08-03-2022,sugar,KG,195
08-03-2022,sugar,KG,98
08-03-2022,sugar,KG,148
08-03-2022,sugar,KG,146
08-03-2022,sugar,KG,165
08-03-2022,sugar,KG,174
08-03-2022,sugar,KG,124
08-03-2022,sugar,KG,114
09-03-2022,sugar,KG,74
09-03-2022,sugar,KG,139
09-03-2022,sugar,KG,86
09-03-2022,sugar,KG,184
09-03-2022,sugar,KG,96
09-03-2022,sugar,KG,83
09-03-2022,sugar,KG,54
09-03-2022,sugar,KG,182
09-03-2022,sugar,KG,163
09-03-2022,sugar,KG,165
10-03-2022,sugar,KG,73
10-03-2022,sugar,KG,104
10-03-2022,sugar,KG,75
10-03-2022,sugar,KG,50
10-03-2022,sugar,KG,64
10-03-2022,sugar,KG,71
10-03-2022,sugar,KG,174
10-03-2022,sugar,KG,165
11-03-2022,sugar,KG,116
11-03-2022,sugar,KG,182
11-03-2022,sugar,KG,90
11-03-2022,sugar,KG,171
11-03-2022,sugar,KG,179
11-03-2022,sugar,KG,185
11-03-2022,sugar,KG,80
11-03-2022,sugar,KG,157
11-03-2022,sugar,KG,151
11-03-2022,sugar,KG,138
11-03-2022,sugar,KG,110
11-03-2022,sugar,KG,88
11-03-2022,sugar,KG,51
11-03-2022,sugar,KG,158
11-03-2022,sugar,KG,148
11-03-2022,sugar,KG,167
12-03-2022,sugar,KG,172
12-03-2022,sugar,KG,82
12-03-2022,sugar,KG,161
12-03-2022,sugar,KG,144
12-03-2022,sugar,KG,70
12-03-2022,sugar,KG,132
12-03-2022,sugar,KG,50
13-03-2022,sugar,KG,167
13-03-2022,sugar,KG,112
13-03-2022,sugar,KG,67
13-03-2022,sugar,KG,143
13-03-2022,sugar,KG,147
13-03-2022,sugar,KG,166
13-03-2022,sugar,KG,176
13-03-2022,sugar,KG,109
13-03-2022,sugar,KG,69
13-03-2022,sugar,KG,156
13-03-2022,sugar,KG,150
13-03-2022,sugar,KG,141
14-03-2022,sugar,KG,115
14-03-2022,sugar,KG,52
14-03-2022,sugar,KG,182
14-03-2022,sugar,KG,191
14-03-2022,sugar,KG,155
14-03-2022,sugar,KG,117
14-03-2022,sugar,KG,55
14-03-2022,sugar,KG,197
14-03-2022,sugar,KG,118
14-03-2022,sugar,KG,186
15-03-2022,sugar,KG,55
15-03-2022,sugar,KG,97
15-03-2022,sugar,KG,114
15-03-2022,sugar,KG,171
15-03-2022,sugar,KG,117
15-03-2022,sugar,KG,127
15-03-2022,sugar,KG,170
15-03-2022,sugar,KG,148
15-03-2022,sugar,KG,115
15-03-2022,sugar,KG,84
15-03-2022,sugar,KG,187
16-03-2022,sugar,KG,143
16-03-2022,sugar,KG,123
16-03-2022,sugar,KG,187
16-03-2022,sugar,KG,117
16-03-2022,sugar,KG,144
16-03-2022,sugar,KG,181
16-03-2022,sugar,KG,175
16-03-2022,sugar,KG,100
17-03-2022,sugar,KG,77
17-03-2022,sugar,KG,198
17-03-2022,sugar,KG,178
17-03-2022,sugar,KG,95
17-03-2022,sugar,KG,139
18-03-2022,sugar,KG,98
18-03-2022,sugar,KG,200
18-03-2022,sugar,KG,117
18-03-2022,sugar,KG,71
18-03-2022,sugar,KG,92
18-03-2022,sugar,KG,176
18-03-2022,sugar,KG,124
18-03-2022,sugar,KG,184
18-03-2022,sugar,KG,173
18-03-2022,sugar,KG,69
18-03-2022,sugar,KG,122
18-03-2022,sugar,KG,74
18-03-2022,sugar,KG,144
18-03-2022,sugar,KG,144
19-03-2022,sugar,KG,57
19-03-2022,sugar,KG,121
19-03-2022,sugar,KG,170
19-03-2022,sugar,KG,67
19-03-2022,sugar,KG,165
19-03-2022,sugar,KG,70
20-03-2022,sugar,KG,108
20-03-2022,sugar,KG,138
20-03-2022,sugar,KG,157
20-03-2022,sugar,KG,110
20-03-2022,sugar,KG,179
20-03-2022,sugar,KG,110
20-03-2022,sugar,KG,129
