ds,cid,item,y
08-01-2021,742,Pista,391
09-01-2021,1049,Pista,327
10-01-2021,1259,Pista,373
11-01-2021,1405,Pista,377
12-01-2021,1584,Pista,355
13-01-2021,1754,Pista,360
14-01-2021,1954,Pista,214
15-01-2021,2119,Pista,363
16-01-2021,2302,Pista,272
17-01-2021,2423,Pista,369
18-01-2021,2568,Pista,231
19-01-2021,2716,Pista,287
20-01-2021,2840,Pista,291
21-01-2021,3020,Pista,333
22-01-2021,3264,Pista,276
23-01-2021,3477,Pista,389
24-01-2021,3709,Pista,271
25-01-2021,3916,Pista,253
26-01-2021,4030,Pista,270
27-01-2021,4343,Pista,258
28-01-2021,4725,Pista,342
29-01-2021,4975,Pista,246
30-01-2021,5267,Pista,308
31-01-2021,5507,Pista,360
01-02-2021,5945,Pista,287
02-02-2021,6323,Pista,396
03-02-2021,6754,Pista,333
04-02-2021,7387,Pista,387
05-02-2021,8827,Pista,342
06-02-2021,27434,Pista,304
07-02-2021,33834,Pista,311
08-02-2021,42011,Pista,229
09-02-2021,480,Pista,283
10-02-2021,914,Pista,314
11-02-2021,1084,Pista,299
12-02-2021,1231,Pista,283
13-02-2021,1721,Pista,208
14-02-2021,2070,Pista,201
15-02-2021,2732,Pista,262
16-02-2021,3152,Pista,387
17-02-2021,3730,Pista,356
18-02-2021,6539,Pista,329
19-02-2021,37729,Pista,324
20-02-2021,2,Pista,304
21-02-2021,173,Pista,316
22-02-2021,356,Pista,340
23-02-2021,543,Pista,339
24-02-2021,799,Pista,388
25-02-2021,1193,Pista,369
26-02-2021,1249,Pista,399
27-02-2021,1380,Pista,297
28-02-2021,1909,Pista,263
29-02-2021,2502,Pista,223
01-03-2021,2858,Pista,338
02-03-2021,3439,Pista,313
03-03-2021,4034,Pista,230
04-03-2021,5060,Pista,369
05-03-2021,6283,Pista,226
06-03-2021,7438,Pista,203
07-03-2021,31221,Pista,251
08-03-2021,480,Pista,197
09-03-2021,1089,Pista,180
10-03-2021,2871,Pista,400
11-03-2021,50872,Pista,326
12-03-2021,784,Pista,328
13-03-2021,613,Pista,321
14-03-2021,1704,Pista,292
15-03-2021,2431,Pista,273
16-03-2021,2596,Pista,355
17-03-2021,3055,Pista,358
18-03-2021,5013,Pista,204
19-03-2021,8622,Pista,186
20-03-2021,3578,Pista,194
21-03-2021,185,Pista,333
22-03-2021,1302,Pista,238
23-03-2021,2657,Pista,251
24-03-2021,3910,Pista,210
25-03-2021,4343,Pista,327
26-03-2021,4973,Pista,323
27-03-2021,5780,Pista,379
28-03-2021,480,Pista,325
29-03-2021,965,Pista,330
30-03-2021,1230,Pista,327
31-03-2021,1356,Pista,338
01-04-2021,2028,Pista,319
02-04-2021,2959,Pista,220
03-04-2021,4489,Pista,203
04-04-2021,8132,Pista,388
05-04-2021,55247,Pista,239
06-04-2021,88140,Pista,251
07-04-2021,110102,Pista,326
08-04-2021,6,Pista,388
09-04-2021,273,Pista,338
10-04-2021,454,Pista,308
11-04-2021,296,Pista,277
12-04-2021,5952,Pista,186
13-04-2021,1047,Pista,262
14-04-2021,2020,Pista,245
15-04-2021,4143,Pista,377
16-04-2021,6934,Pista,341
17-04-2021,33437,Pista,181
18-04-2021,3897,Pista,395
19-04-2021,277,Pista,276
20-04-2021,539,Pista,378
21-04-2021,919,Pista,227
22-04-2021,1201,Pista,230
23-04-2021,1291,Pista,345
24-04-2021,1682,Pista,335
25-04-2021,2006,Pista,353
26-04-2021,2384,Pista,364
27-04-2021,2701,Pista,375
28-04-2021,2959,Pista,348
29-04-2021,3448,Pista,319
30-04-2021,3911,Pista,216
01-05-2021,4446,Pista,250
02-05-2021,5308,Pista,289
03-05-2021,5954,Pista,301
04-05-2021,6707,Pista,222
05-05-2021,7451,Pista,248
06-05-2021,8914,Pista,228
07-05-2021,33162,Pista,254
08-05-2021,44788,Pista,342
09-05-2021,66934,Pista,392
10-05-2021,364,Pista,342
11-05-2021,923,Pista,365
12-05-2021,1584,Pista,349
13-05-2021,2959,Pista,278
14-05-2021,5952,Pista,230
15-05-2021,589,Pista,369
16-05-2021,1653,Pista,391
17-05-2021,3751,Pista,255
18-05-2021,1,Pista,222
19-05-2021,349,Pista,191
20-05-2021,588,Pista,312
21-05-2021,913,Pista,258
22-05-2021,1196,Pista,227
23-05-2021,1225,Pista,377
24-05-2021,1265,Pista,391
25-05-2021,1405,Pista,248
26-05-2021,1639,Pista,184
27-05-2021,1966,Pista,258
28-05-2021,2158,Pista,388
29-05-2021,2374,Pista,376
30-05-2021,2628,Pista,271
31-05-2021,2916,Pista,264
01-06-2021,3175,Pista,357
02-06-2021,3703,Pista,326
03-06-2021,4564,Pista,314
04-06-2021,2100,Pista,351
05-06-2021,480,Pista,339
06-06-2021,2571,Pista,193
07-06-2021,32,Pista,332
08-06-2021,500,Pista,211
09-06-2021,1198,Pista,314
10-06-2021,1356,Pista,254
11-06-2021,1747,Pista,285
12-06-2021,2467,Pista,191
13-06-2021,2987,Pista,321
14-06-2021,3868,Pista,313
15-06-2021,4886,Pista,397
16-06-2021,6502,Pista,190
17-06-2021,8360,Pista,189
18-06-2021,40815,Pista,301
19-06-2021,1093,Pista,396
20-06-2021,2858,Pista,335
21-06-2021,32,Pista,400
22-06-2021,4321,Pista,376
23-06-2021,593,Pista,211
24-06-2021,141,Pista,362
25-06-2021,349,Pista,313
26-06-2021,588,Pista,216
27-06-2021,904,Pista,280
28-06-2021,1080,Pista,291
29-06-2021,1247,Pista,374
30-06-2021,1347,Pista,378
01-07-2021,434,Pista,399
02-07-2021,2115,Pista,269
03-07-2021,5502,Pista,296
04-07-2021,260,Pista,322
05-07-2021,1210,Pista,295
06-07-2021,2747,Pista,202
07-07-2021,6502,Pista,274
08-07-2021,56607,Pista,267
09-07-2021,541,Pista,295
10-07-2021,2574,Pista,396
11-07-2021,1183,Pista,220
12-07-2021,597,Pista,265
13-07-2021,1265,Pista,350
14-07-2021,2671,Pista,296
15-07-2021,4361,Pista,219
16-07-2021,6377,Pista,368
17-07-2021,36525,Pista,267
18-07-2021,56286,Pista,393
19-07-2021,72011,Pista,207
20-07-2021,90866,Pista,271
21-07-2021,105211,Pista,209
22-07-2021,1,Pista,252
23-07-2021,296,Pista,309
24-07-2021,592,Pista,306
25-07-2021,5952,Pista,239
26-07-2021,1246,Pista,345
27-07-2021,2431,Pista,204
28-07-2021,4306,Pista,259
29-07-2021,6502,Pista,393
30-07-2021,33493,Pista,304
31-07-2021,55908,Pista,391
01-08-2021,115713,Pista,330
02-08-2021,3052,Pista,303
03-08-2021,36401,Pista,374
04-08-2021,122029,Pista,390
05-08-2021,1258,Pista,258
06-08-2021,2694,Pista,388
07-08-2021,4901,Pista,352
08-08-2021,2207,Pista,336
09-08-2021,95,Pista,344
10-08-2021,300,Pista,390
11-08-2021,405,Pista,205
12-08-2021,1193,Pista,317
13-08-2021,1287,Pista,295
14-08-2021,2268,Pista,359
15-08-2021,3015,Pista,298
16-08-2021,2640,Pista,231
17-08-2021,168,Pista,326
18-08-2021,410,Pista,322
19-08-2021,588,Pista,307
20-08-2021,154,Pista,325
21-08-2021,539,Pista,270
22-08-2021,934,Pista,332
23-08-2021,2389,Pista,231
24-08-2021,3253,Pista,228
25-08-2021,529,Pista,289
26-08-2021,306,Pista,331
27-08-2021,4308,Pista,364
28-08-2021,1246,Pista,252
29-08-2021,3510,Pista,247
30-08-2021,10,Pista,200
31-08-2021,349,Pista,212
01-09-2021,628,Pista,293
02-09-2021,1090,Pista,230
03-09-2021,1234,Pista,238
04-09-2021,1584,Pista,261
05-09-2021,2003,Pista,271
06-09-2021,2699,Pista,271
07-09-2021,3386,Pista,391
08-09-2021,4246,Pista,340
09-09-2021,8961,Pista,335
10-09-2021,17,Pista,313
11-09-2021,1188,Pista,327
12-09-2021,56367,Pista,329
13-09-2021,296,Pista,348
14-09-2021,454,Pista,265
15-09-2021,1250,Pista,180
16-09-2021,150,Pista,303
17-09-2021,2278,Pista,202
18-09-2021,6857,Pista,313
19-09-2021,2572,Pista,241
20-09-2021,48780,Pista,305
21-09-2021,80463,Pista,182
22-09-2021,838,Pista,222
23-09-2021,1665,Pista,284
24-09-2021,2324,Pista,221
25-09-2021,2858,Pista,215
26-09-2021,260,Pista,391
27-09-2021,924,Pista,280
28-09-2021,3703,Pista,373
29-09-2021,42718,Pista,339
30-09-2021,68319,Pista,191
01-10-2021,87232,Pista,269
02-10-2021,99114,Pista,257
03-10-2021,111759,Pista,381
04-10-2021,124859,Pista,243
05-10-2021,50,Pista,284
06-10-2021,1073,Pista,277
07-10-2021,329,Pista,383
08-10-2021,110,Pista,375
09-10-2021,1060,Pista,397
10-10-2021,1246,Pista,336
11-10-2021,1883,Pista,278
12-10-2021,2542,Pista,188
13-10-2021,3510,Pista,293
14-10-2021,292,Pista,265
15-10-2021,1196,Pista,205
16-10-2021,3258,Pista,227
17-10-2021,780,Pista,207
18-10-2021,176,Pista,370
19-10-2021,673,Pista,259
20-10-2021,231,Pista,280
21-10-2021,349,Pista,316
22-10-2021,515,Pista,287
23-10-2021,663,Pista,350
24-10-2021,903,Pista,186
25-10-2021,1079,Pista,323
26-10-2021,1210,Pista,341
27-10-2021,1267,Pista,314
28-10-2021,1396,Pista,279
29-10-2021,1674,Pista,341
30-10-2021,1954,Pista,241
31-10-2021,2117,Pista,208
01-11-2021,2391,Pista,261
02-11-2021,2692,Pista,274
03-11-2021,2959,Pista,205
04-11-2021,3176,Pista,265
05-11-2021,3793,Pista,245
06-11-2021,4226,Pista,345
07-11-2021,4963,Pista,311
08-11-2021,5902,Pista,185
09-11-2021,6711,Pista,381
10-11-2021,7478,Pista,379
11-11-2021,31658,Pista,241
12-11-2021,48516,Pista,396
13-11-2021,1416,Pista,215
14-11-2021,223,Pista,246
15-11-2021,1089,Pista,226
16-11-2021,1500,Pista,313
17-11-2021,2518,Pista,364
18-11-2021,3550,Pista,228
19-11-2021,101,Pista,353
20-11-2021,441,Pista,387
21-11-2021,923,Pista,329
22-11-2021,1230,Pista,371
23-11-2021,1653,Pista,251
24-11-2021,2253,Pista,382
25-11-2021,2890,Pista,248
26-11-2021,3489,Pista,342
27-11-2021,4226,Pista,269
28-11-2021,6296,Pista,268
29-11-2021,7792,Pista,334
30-11-2021,173,Pista,204
01-12-2021,457,Pista,325
02-12-2021,40,Pista,201
03-12-2021,272,Pista,202
04-12-2021,427,Pista,195
05-12-2021,5952,Pista,248
06-12-2021,593,Pista,311
07-12-2021,1233,Pista,191
08-12-2021,2159,Pista,238
09-12-2021,3576,Pista,303
10-12-2021,7,Pista,389
11-12-2021,118,Pista,325
12-12-2021,344,Pista,200
13-12-2021,784,Pista,216
14-12-2021,1,Pista,309
15-12-2021,123,Pista,373
16-12-2021,363,Pista,237
17-12-2021,542,Pista,270
18-12-2021,858,Pista,375
19-12-2021,1060,Pista,291
20-12-2021,1193,Pista,282
21-12-2021,1242,Pista,292
22-12-2021,1291,Pista,189
23-12-2021,1569,Pista,369
24-12-2021,1732,Pista,263
25-12-2021,1954,Pista,185
26-12-2021,2078,Pista,367
27-12-2021,2231,Pista,317
28-12-2021,2396,Pista,291
29-12-2021,2542,Pista,220
30-12-2021,2728,Pista,257
31-12-2021,2912,Pista,231
01-01-2022,3081,Pista,182
02-01-2022,3253,Pista,289
03-01-2022,3457,Pista,238
04-01-2022,3608,Pista,264
05-01-2022,3868,Pista,351
06-01-2022,4041,Pista,349
07-01-2022,4239,Pista,388
08-01-2022,4546,Pista,374
09-01-2022,4881,Pista,356
10-01-2022,5292,Pista,298
11-01-2022,593,Pista,222
12-01-2022,4011,Pista,393
13-01-2022,296,Pista,330
14-01-2022,2997,Pista,258
15-01-2022,3996,Pista,328
16-01-2022,5669,Pista,251
17-01-2022,41566,Pista,218
18-01-2022,175,Pista,320
19-01-2022,1198,Pista,186
20-01-2022,117107,Pista,234
21-01-2022,2779,Pista,379
22-01-2022,54001,Pista,236
23-01-2022,68954,Pista,350
24-01-2022,175,Pista,288
25-01-2022,719,Pista,305
26-01-2022,1367,Pista,284
27-01-2022,2671,Pista,342
28-01-2022,2028,Pista,304
29-01-2022,1240,Pista,348
30-01-2022,46578,Pista,207
31-01-2022,260,Pista,374
01-02-2022,31696,Pista,297
02-02-2022,166528,Pista,290
03-02-2022,42,Pista,306
04-02-2022,162,Pista,208
05-02-2022,288,Pista,193
06-02-2022,371,Pista,346
07-02-2022,493,Pista,326
08-02-2022,562,Pista,358
09-02-2022,742,Pista,250
10-02-2022,923,Pista,233
11-02-2022,1097,Pista,299
12-02-2022,1199,Pista,231
13-02-2022,1246,Pista,383
14-02-2022,1299,Pista,332
15-02-2022,1388,Pista,250
16-02-2022,1513,Pista,398
17-02-2022,1633,Pista,295
18-02-2022,1721,Pista,326
19-02-2022,1882,Pista,351
20-02-2022,1970,Pista,346
21-02-2022,2029,Pista,272
22-02-2022,2150,Pista,190
23-02-2022,2288,Pista,273
24-02-2022,2352,Pista,391
25-02-2022,2447,Pista,392
26-02-2022,2533,Pista,185
27-02-2022,2707,Pista,339
28-02-2022,2802,Pista,183
01-03-2022,2985,Pista,324
02-03-2022,3135,Pista,233
03-03-2022,224,Pista,325
04-03-2022,527,Pista,331
05-03-2022,1196,Pista,234
06-03-2022,1307,Pista,231
07-03-2022,1916,Pista,241
08-03-2022,2058,Pista,314
09-03-2022,2334,Pista,352
10-03-2022,2628,Pista,348
11-03-2022,3034,Pista,288
12-03-2022,3578,Pista,394
13-03-2022,4299,Pista,398
14-03-2022,5902,Pista,245
15-03-2022,1,Pista,340
16-03-2022,551,Pista,355
17-03-2022,1250,Pista,243
18-03-2022,2294,Pista,189
19-03-2022,3988,Pista,312
20-03-2022,6503,Pista,184
21-03-2022,750,Pista,372
22-03-2022,17,Pista,375
23-03-2022,32,Pista,309
24-03-2022,231,Pista,225
25-03-2022,344,Pista,210
26-03-2022,509,Pista,207
27-03-2022,159,Pista,197
28-03-2022,848,Pista,203
29-03-2022,1721,Pista,227
30-03-2022,2712,Pista,266
31-03-2022,3418,Pista,264
01-04-2022,3988,Pista,285
02-04-2022,4679,Pista,243
03-04-2022,5151,Pista,331
04-04-2022,1208,Pista,398
05-04-2022,235,Pista,236
06-04-2022,509,Pista,277
07-04-2022,1023,Pista,186
08-04-2022,1228,Pista,241
09-04-2022,1396,Pista,305
10-04-2022,1784,Pista,191
11-04-2022,2100,Pista,345
12-04-2022,2507,Pista,379
13-04-2022,3006,Pista,206
14-04-2022,3745,Pista,259
15-04-2022,370,Pista,255
16-04-2022,2791,Pista,320
17-04-2022,8507,Pista,191
18-04-2022,296,Pista,344
19-04-2022,3565,Pista,334
20-04-2022,2340,Pista,378
21-04-2022,26736,Pista,220
22-04-2022,68486,Pista,360
23-04-2022,318,Pista,380
24-04-2022,3481,Pista,199
25-04-2022,4015,Pista,218
26-04-2022,4447,Pista,265
27-04-2022,5218,Pista,180
28-04-2022,5903,Pista,394
29-04-2022,6711,Pista,303
30-04-2022,8533,Pista,255
01-05-2022,33794,Pista,356
02-05-2022,46972,Pista,354
03-05-2022,55052,Pista,253
04-05-2022,60072,Pista,311
05-05-2022,69757,Pista,184
06-05-2022,81845,Pista,258
07-05-2022,93840,Pista,306
08-05-2022,50,Pista,362
09-05-2022,65,Pista,193
10-05-2022,1831,Pista,296
11-05-2022,908,Pista,397
12-05-2022,2020,Pista,279
13-05-2022,5952,Pista,330
14-05-2022,127098,Pista,279
15-05-2022,2908,Pista,385
16-05-2022,3717,Pista,366
17-05-2022,4963,Pista,206
18-05-2022,6378,Pista,280
19-05-2022,45186,Pista,344
20-05-2022,56775,Pista,223
21-05-2022,79132,Pista,248
22-05-2022,41,Pista,242
23-05-2022,702,Pista,346
24-05-2022,1177,Pista,353
25-05-2022,1258,Pista,285
26-05-2022,1699,Pista,284
27-05-2022,2068,Pista,274
28-05-2022,2672,Pista,284
29-05-2022,3108,Pista,244
30-05-2022,480,Pista,285
31-05-2022,218,Pista,188
01-06-2022,296,Pista,368
02-06-2022,419,Pista,294
03-06-2022,539,Pista,234
04-06-2022,157,Pista,343
05-06-2022,589,Pista,386
06-06-2022,3147,Pista,248
07-06-2022,5810,Pista,266
08-06-2022,8644,Pista,220
09-06-2022,58559,Pista,202
10-06-2022,85414,Pista,260
11-06-2022,780,Pista,343
12-06-2022,2728,Pista,229
13-06-2022,610,Pista,206
14-06-2022,1591,Pista,346
15-06-2022,2700,Pista,232
16-06-2022,3863,Pista,214
17-06-2022,778,Pista,197
18-06-2022,457,Pista,303
19-06-2022,2022,Pista,378
20-06-2022,70293,Pista,217
21-06-2022,1136,Pista,276
22-06-2022,2571,Pista,235
23-06-2022,6796,Pista,336
24-06-2022,63876,Pista,252
25-06-2022,89864,Pista,353
26-06-2022,480,Pista,351
27-06-2022,2694,Pista,394
28-06-2022,7,Pista,290
29-06-2022,64,Pista,343
30-06-2022,160,Pista,190
01-07-2022,256,Pista,311
02-07-2022,354,Pista,237
03-07-2022,468,Pista,194
04-07-2022,586,Pista,361
05-07-2022,736,Pista,363
06-07-2022,912,Pista,251
07-07-2022,1127,Pista,236
08-07-2022,1287,Pista,308
09-07-2022,1387,Pista,322
10-07-2022,237,Pista,186
11-07-2022,593,Pista,392
12-07-2022,52,Pista,363
13-07-2022,161,Pista,329
14-07-2022,235,Pista,263
15-07-2022,339,Pista,233
16-07-2022,440,Pista,241
17-07-2022,516,Pista,313
18-07-2022,647,Pista,283
19-07-2022,1034,Pista,366
20-07-2022,1291,Pista,338
21-07-2022,1488,Pista,291
22-07-2022,1625,Pista,325
23-07-2022,1769,Pista,260
24-07-2022,2058,Pista,306
25-07-2022,2336,Pista,197
26-07-2022,2763,Pista,344
27-07-2022,2011,Pista,256
28-07-2022,628,Pista,234
29-07-2022,1061,Pista,270
30-07-2022,165,Pista,192
31-07-2022,344,Pista,309
01-08-2022,1784,Pista,240
02-08-2022,2657,Pista,393
03-08-2022,5617,Pista,271
04-08-2022,56949,Pista,317
05-08-2022,105,Pista,221
06-08-2022,367,Pista,301
07-08-2022,587,Pista,287
08-08-2022,923,Pista,239
09-08-2022,1198,Pista,238
10-08-2022,1259,Pista,286
11-08-2022,1485,Pista,181
12-08-2022,1953,Pista,355
13-08-2022,2194,Pista,266
14-08-2022,2529,Pista,225
15-08-2022,2918,Pista,369
16-08-2022,3252,Pista,251
17-08-2022,3552,Pista,192
18-08-2022,4220,Pista,194
19-08-2022,5299,Pista,285
20-08-2022,6809,Pista,196
21-08-2022,7107,Pista,367
22-08-2022,783,Pista,355
23-08-2022,2858,Pista,183
24-08-2022,150,Pista,193
25-08-2022,1172,Pista,249
26-08-2022,2648,Pista,261
27-08-2022,367,Pista,331
28-08-2022,2724,Pista,194
29-08-2022,6711,Pista,267
30-08-2022,93840,Pista,229
31-08-2022,1073,Pista,376
01-09-2022,2858,Pista,206
02-09-2022,4993,Pista,327
03-09-2022,8368,Pista,211
04-09-2022,53125,Pista,243
05-09-2022,81847,Pista,364
06-09-2022,515,Pista,305
07-09-2022,2359,Pista,381
08-09-2022,457,Pista,353
09-09-2022,3578,Pista,181
10-09-2022,63082,Pista,209
11-09-2022,3107,Pista,340
12-09-2022,457,Pista,257
13-09-2022,1267,Pista,321
14-09-2022,3702,Pista,212
15-09-2022,2,Pista,259
16-09-2022,592,Pista,367
17-09-2022,1517,Pista,376
18-09-2022,2997,Pista,191
19-09-2022,1204,Pista,317
20-09-2022,5445,Pista,385
21-09-2022,377,Pista,398
22-09-2022,1291,Pista,235
23-09-2022,3527,Pista,314
24-09-2022,41566,Pista,215
25-09-2022,102125,Pista,308
26-09-2022,1907,Pista,191
27-09-2022,231,Pista,219
28-09-2022,3,Pista,362
29-09-2022,185,Pista,352
30-09-2022,357,Pista,320
01-10-2022,587,Pista,268
02-10-2022,1100,Pista,391
03-10-2022,235,Pista,310
04-10-2022,589,Pista,239
05-10-2022,1372,Pista,321
06-10-2022,3101,Pista,288
07-10-2022,32,Pista,207
08-10-2022,176,Pista,300
09-10-2022,277,Pista,278
10-10-2022,353,Pista,315
11-10-2022,442,Pista,315
12-10-2022,551,Pista,366
13-10-2022,661,Pista,198
14-10-2022,839,Pista,213
15-10-2022,918,Pista,194
16-10-2022,965,Pista,203
17-10-2022,1051,Pista,277
18-10-2022,1129,Pista,347
19-10-2022,1204,Pista,202
20-10-2022,1240,Pista,232
21-10-2022,1273,Pista,243
22-10-2022,1307,Pista,188
23-10-2022,1374,Pista,377
24-10-2022,1483,Pista,345
25-10-2022,1612,Pista,274
26-10-2022,1701,Pista,379
27-10-2022,1835,Pista,280
28-10-2022,1941,Pista,187
29-10-2022,2003,Pista,211
30-10-2022,2078,Pista,184
31-10-2022,2134,Pista,280
01-11-2022,2174,Pista,320
02-11-2022,2294,Pista,331
03-11-2022,2358,Pista,368
04-11-2022,2412,Pista,228
05-11-2022,2528,Pista,216
06-11-2022,2640,Pista,348
07-11-2022,2712,Pista,281
08-11-2022,2775,Pista,184
09-11-2022,2897,Pista,399
10-11-2022,2964,Pista,286
11-11-2022,3032,Pista,316
12-11-2022,3104,Pista,269
13-11-2022,3182,Pista,223
14-11-2022,3326,Pista,320
15-11-2022,3450,Pista,325
16-11-2022,3564,Pista,371
17-11-2022,3699,Pista,334
18-11-2022,3786,Pista,378
19-11-2022,3910,Pista,276
20-11-2022,3996,Pista,274
21-11-2022,4077,Pista,309
22-11-2022,4237,Pista,378
23-11-2022,4334,Pista,351
24-11-2022,4467,Pista,185
25-11-2022,4619,Pista,397
26-11-2022,4713,Pista,327
27-11-2022,4811,Pista,248
28-11-2022,4911,Pista,216
29-11-2022,5017,Pista,270
30-11-2022,5159,Pista,341
01-12-2022,5349,Pista,200
02-12-2022,5452,Pista,303
03-12-2022,5550,Pista,268
04-12-2022,5669,Pista,331
05-12-2022,5816,Pista,216
06-12-2022,5954,Pista,204
07-12-2022,86,Pista,210
08-12-2022,380,Pista,359
09-12-2022,662,Pista,298
10-12-2022,1194,Pista,226
11-12-2022,1345,Pista,193
