ds,CId,Item,Quantity,y
05-12-2022 00:00,69122,Rice,KG,140
06-12-2022 00:00,88125,Rice,KG,178
08-12-2022 00:00,5952,Rice,KG,124
18-12-2022 00:00,2959,Rice,KG,159
25-12-2022 00:00,59369,Rice,KG,128
25-12-2022 00:00,109487,Rice,KG,171
25-12-2022 00:00,120466,Rice,KG,143
26-01-2022 00:00,1376,Rice,KG,106
01-03-2022 00:00,342,Rice,KG,134
04-08-2022 00:00,3623,Rice,KG,167
28-08-2022 00:00,1408,Rice,KG,158
21-10-2022 00:00,5952,Rice,KG,111
07-11-2022 00:00,2001,Rice,KG,101
01-12-2022 00:00,1250,Rice,KG,173
22-08-2022 00:00,1744,Rice,KG,116
06-09-2022 00:00,1961,Rice,KG,131
19-01-2022 00:00,234,Rice,KG,127
10-02-2022 00:00,805,Rice,KG,180
14-02-2022 00:00,132,Rice,KG,74
14-03-2022 00:00,105,Rice,KG,83
01-04-2022 00:00,153,Rice,KG,175
06-04-2022 00:00,316,Rice,KG,158
08-04-2022 00:00,344,Rice,KG,173
09-04-2022 00:00,466,Rice,KG,118
13-04-2022 00:00,585,Rice,KG,150
02-05-2022 00:00,10,Rice,KG,175
31-05-2022 00:00,420,Rice,KG,164
10-06-2022 00:00,521,Rice,KG,174
18-06-2022 00:00,587,Rice,KG,162
18-06-2022 00:00,276,Rice,KG,109
05-07-2022 00:00,293,Rice,KG,110
12-07-2022 00:00,737,Rice,KG,78
08-08-2022 00:00,20,Rice,KG,115
28-08-2022 00:00,275,Rice,KG,92
04-09-2022 00:00,185,Rice,KG,98
07-09-2022 00:00,339,Rice,KG,172
10-09-2022 00:00,349,Rice,KG,155
04-10-2022 00:00,193,Rice,KG,116
10-10-2022 00:00,296,Rice,KG,160
13-10-2022 00:00,216,Rice,KG,92
16-10-2022 00:00,597,Rice,KG,97
07-11-2022 00:00,253,Rice,KG,131
17-11-2022 00:00,377,Rice,KG,171
24-11-2022 00:00,485,Rice,KG,119
25-11-2022 00:00,540,Rice,KG,179
27-11-2022 00:00,353,Rice,KG,102
05-12-2022 00:00,480,Rice,KG,78
16-12-2022 00:00,2,Rice,KG,131
17-12-2022 00:00,330,Rice,KG,121
29-12-2022 00:00,170,Rice,KG,126
31-07-2022 00:00,3006,Rice,KG,149
15-06-2022 00:00,783,Rice,KG,147
07-08-2022 00:00,2699,Rice,KG,107
23-09-2022 00:00,2006,Rice,KG,78
23-03-2022 00:00,3699,Rice,KG,89
02-06-2022 00:00,23,Rice,KG,136
08-06-2022 00:00,836,Rice,KG,74
13-09-2022 00:00,2976,Rice,KG,160
11-10-2022 00:00,3893,Rice,KG,113
04-01-2022 00:00,541,Rice,KG,86
07-01-2022 00:00,898,Rice,KG,84
03-05-2022 00:00,1923,Rice,KG,102
14-06-2022 00:00,551,Rice,KG,162
28-06-2022 00:00,1961,Rice,KG,89
30-06-2022 00:00,508,Rice,KG,87
24-08-2022 00:00,1277,Rice,KG,84
05-11-2022 00:00,1224,Rice,KG,122
04-12-2022 00:00,913,Rice,KG,165
14-12-2022 00:00,3328,Rice,KG,106
20-12-2022 00:00,11,Rice,KG,157
23-12-2022 00:00,750,Rice,KG,101
12-01-2022 00:00,2313,Rice,KG,140
14-08-2022 00:00,3953,Rice,KG,75
20-08-2022 00:00,1292,Rice,KG,82
30-08-2022 00:00,3897,Rice,KG,133
12-12-2022 00:00,1499,Rice,KG,156
21-06-2022 00:00,1569,Rice,KG,110
21-07-2022 00:00,2021,Rice,KG,130
19-08-2022 00:00,724,Rice,KG,106
24-08-2022 00:00,1597,Rice,KG,124
09-11-2022 00:00,1690,Rice,KG,135
09-01-2022 00:00,367,Rice,KG,111
18-02-2022 00:00,47,Rice,KG,118
21-02-2022 00:00,592,Rice,KG,101
25-02-2022 00:00,586,Rice,KG,147
26-04-2022 00:00,595,Rice,KG,179
27-04-2022 00:00,342,Rice,KG,97
26-05-2022 00:00,153,Rice,KG,161
03-06-2022 00:00,208,Rice,KG,80
14-06-2022 00:00,10,Rice,KG,88
04-09-2022 00:00,597,Rice,KG,156
12-09-2022 00:00,377,Rice,KG,168
25-09-2022 00:00,288,Rice,KG,118
07-10-2022 00:00,500,Rice,KG,140
26-10-2022 00:00,588,Rice,KG,162
14-11-2022 00:00,589,Rice,KG,113
29-11-2022 00:00,300,Rice,KG,88
01-12-2022 00:00,165,Rice,KG,89
03-12-2022 00:00,590,Rice,KG,77
27-12-2022 00:00,509,Rice,KG,177
26-01-2022 00:00,2115,Rice,KG,125
13-02-2022 00:00,1210,Rice,KG,87
20-02-2022 00:00,1129,Rice,KG,163
20-02-2022 00:00,1580,Rice,KG,174
01-04-2022 00:00,2858,Rice,KG,172
10-04-2022 00:00,2718,Rice,KG,90
11-05-2022 00:00,2403,Rice,KG,103
16-05-2022 00:00,1608,Rice,KG,116
19-05-2022 00:00,21,Rice,KG,144
23-05-2022 00:00,3253,Rice,KG,127
26-05-2022 00:00,733,Rice,KG,136
08-06-2022 00:00,3763,Rice,KG,76
25-06-2022 00:00,589,Rice,KG,106
16-07-2022 00:00,440,Rice,KG,102
23-07-2022 00:00,1833,Rice,KG,78
27-07-2022 00:00,1414,Rice,KG,118
28-07-2022 00:00,708,Rice,KG,120
26-08-2022 00:00,292,Rice,KG,168
31-08-2022 00:00,648,Rice,KG,161
03-09-2022 00:00,597,Rice,KG,77
13-09-2022 00:00,2108,Rice,KG,131
15-09-2022 00:00,1569,Rice,KG,156
23-09-2022 00:00,3256,Rice,KG,158
03-10-2022 00:00,2273,Rice,KG,137
25-10-2022 00:00,539,Rice,KG,78
26-10-2022 00:00,2000,Rice,KG,131
28-10-2022 00:00,3793,Rice,KG,88
13-11-2022 00:00,1223,Rice,KG,131
19-11-2022 00:00,144,Rice,KG,119
17-12-2022 00:00,1148,Rice,KG,83
24-12-2022 00:00,380,Rice,KG,161
11-01-2022 00:00,1148,Rice,KG,122
26-01-2022 00:00,4878,Rice,KG,147
03-02-2022 00:00,1198,Rice,KG,90
09-02-2022 00:00,1625,Rice,KG,113
09-02-2022 00:00,4973,Rice,KG,172
12-02-2022 00:00,1617,Rice,KG,76
21-02-2022 00:00,2028,Rice,KG,151
05-03-2022 00:00,5989,Rice,KG,113
09-03-2022 00:00,1704,Rice,KG,91
13-03-2022 00:00,1183,Rice,KG,109
14-03-2022 00:00,3869,Rice,KG,141
15-04-2022 00:00,2959,Rice,KG,70
13-05-2022 00:00,2762,Rice,KG,177
21-05-2022 00:00,3916,Rice,KG,80
29-05-2022 00:00,1320,Rice,KG,153
03-06-2022 00:00,2006,Rice,KG,168
08-06-2022 00:00,5418,Rice,KG,177
09-06-2022 00:00,1517,Rice,KG,142
06-07-2022 00:00,4963,Rice,KG,173
14-07-2022 00:00,858,Rice,KG,83
17-07-2022 00:00,6218,Rice,KG,149
17-07-2022 00:00,8368,Rice,KG,109
18-07-2022 00:00,8665,Rice,KG,175
05-08-2022 00:00,3623,Rice,KG,146
07-08-2022 00:00,6365,Rice,KG,112
25-08-2022 00:00,6874,Rice,KG,89
31-08-2022 00:00,8961,Rice,KG,154
02-09-2022 00:00,4226,Rice,KG,72
08-09-2022 00:00,6537,Rice,KG,114
17-09-2022 00:00,3996,Rice,KG,87
19-09-2022 00:00,296,Rice,KG,102
20-09-2022 00:00,527,Rice,KG,145
17-10-2022 00:00,593,Rice,KG,76
19-10-2022 00:00,1777,Rice,KG,148
24-10-2022 00:00,6539,Rice,KG,96
26-10-2022 00:00,288,Rice,KG,108
30-10-2022 00:00,50,Rice,KG,178
11-11-2022 00:00,2542,Rice,KG,91
16-11-2022 00:00,1200,Rice,KG,129
02-12-2022 00:00,2918,Rice,KG,156
28-08-2022 00:00,4361,Rice,KG,166
25-09-2022 00:00,3363,Rice,KG,81
31-10-2022 00:00,1120,Rice,KG,132
23-11-2022 00:00,719,Rice,KG,98
20-12-2022 00:00,3450,Rice,KG,133
11-03-2022 00:00,589,Rice,KG,174
03-05-2022 00:00,185,Rice,KG,81
21-05-2022 00:00,587,Rice,KG,173
06-06-2022 00:00,491,Rice,KG,94
19-06-2022 00:00,653,Rice,KG,86
17-07-2022 00:00,288,Rice,KG,87
28-07-2022 00:00,786,Rice,KG,100
03-08-2022 00:00,225,Rice,KG,143
15-08-2022 00:00,551,Rice,KG,166
25-08-2022 00:00,588,Rice,KG,178
05-09-2022 00:00,595,Rice,KG,150
18-09-2022 00:00,273,Rice,KG,75
26-10-2022 00:00,339,Rice,KG,76
27-10-2022 00:00,24,Rice,KG,160
30-11-2022 00:00,282,Rice,KG,141
07-02-2022 00:00,380,Rice,KG,162
11-10-2022 00:00,153,Rice,KG,107
22-12-2022 00:00,588,Rice,KG,159
14-01-2022 00:00,5502,Rice,KG,150
18-02-2022 00:00,1660,Rice,KG,117
15-04-2022 00:00,1967,Rice,KG,150
25-04-2022 00:00,2692,Rice,KG,115
15-05-2022 00:00,5299,Rice,KG,158
17-05-2022 00:00,2282,Rice,KG,168
21-05-2022 00:00,5460,Rice,KG,154
23-05-2022 00:00,3697,Rice,KG,71
11-06-2022 00:00,3247,Rice,KG,75
18-06-2022 00:00,2596,Rice,KG,129
01-07-2022 00:00,455,Rice,KG,132
08-07-2022 00:00,2700,Rice,KG,103
04-08-2022 00:00,1500,Rice,KG,167
08-08-2022 00:00,5507,Rice,KG,123
04-09-2022 00:00,3943,Rice,KG,154
29-09-2022 00:00,18,Rice,KG,167
10-10-2022 00:00,3145,Rice,KG,93
06-11-2022 00:00,1573,Rice,KG,132
10-12-2022 00:00,842,Rice,KG,96
12-12-2022 00:00,2325,Rice,KG,83
13-12-2022 00:00,1097,Rice,KG,71
20-12-2022 00:00,1278,Rice,KG,112
10-03-2022 00:00,2107,Rice,KG,108
06-11-2022 00:00,2027,Rice,KG,158
08-02-2022 00:00,1270,Rice,KG,147
16-03-2022 00:00,2706,Rice,KG,102
08-06-2022 00:00,1393,Rice,KG,91
16-01-2022 00:00,1963,Rice,KG,163
16-02-2022 00:00,969,Rice,KG,134
08-03-2022 00:00,2793,Rice,KG,81
28-03-2022 00:00,1188,Rice,KG,95
07-05-2022 00:00,3210,Rice,KG,100
24-06-2022 00:00,2916,Rice,KG,72
27-06-2022 00:00,2000,Rice,KG,72
30-06-2022 00:00,527,Rice,KG,149
25-07-2022 00:00,1199,Rice,KG,142
26-07-2022 00:00,1077,Rice,KG,115
07-08-2022 00:00,1580,Rice,KG,118
18-08-2022 00:00,1196,Rice,KG,95
10-09-2022 00:00,1244,Rice,KG,119
09-11-2022 00:00,592,Rice,KG,118
03-01-2022 00:00,923,Rice,KG,171
13-01-2022 00:00,1213,Rice,KG,128
15-01-2022 00:00,2243,Rice,KG,141
17-01-2022 00:00,3101,Rice,KG,149
21-01-2022 00:00,1183,Rice,KG,117
21-01-2022 00:00,1293,Rice,KG,150
22-01-2022 00:00,1272,Rice,KG,86
24-01-2022 00:00,1956,Rice,KG,79
24-01-2022 00:00,2686,Rice,KG,160
26-01-2022 00:00,2858,Rice,KG,80
30-01-2022 00:00,906,Rice,KG,160
01-02-2022 00:00,3104,Rice,KG,160
02-02-2022 00:00,7840,Rice,KG,153
03-02-2022 00:00,541,Rice,KG,143
04-02-2022 00:00,6724,Rice,KG,170
04-02-2022 00:00,6787,Rice,KG,164
09-02-2022 00:00,1944,Rice,KG,149
17-02-2022 00:00,1267,Rice,KG,76
17-02-2022 00:00,4326,Rice,KG,175
18-02-2022 00:00,1266,Rice,KG,89
21-02-2022 00:00,7569,Rice,KG,169
24-02-2022 00:00,1721,Rice,KG,145
26-02-2022 00:00,3811,Rice,KG,71
01-03-2022 00:00,2124,Rice,KG,163
02-03-2022 00:00,1250,Rice,KG,145
02-03-2022 00:00,1388,Rice,KG,180
04-03-2022 00:00,2528,Rice,KG,126
04-03-2022 00:00,4488,Rice,KG,166
05-03-2022 00:00,252,Rice,KG,113
07-03-2022 00:00,1136,Rice,KG,164
07-03-2022 00:00,858,Rice,KG,126
07-03-2022 00:00,2398,Rice,KG,107
09-03-2022 00:00,2294,Rice,KG,79
13-03-2022 00:00,3256,Rice,KG,108
14-03-2022 00:00,2151,Rice,KG,115
15-03-2022 00:00,587,Rice,KG,84
21-03-2022 00:00,32469,Rice,KG,100
22-03-2022 00:00,1225,Rice,KG,113
23-03-2022 00:00,1276,Rice,KG,137
25-03-2022 00:00,5995,Rice,KG,158
29-03-2022 00:00,1019,Rice,KG,129
31-03-2022 00:00,8207,Rice,KG,75
31-03-2022 00:00,1704,Rice,KG,116
01-04-2022 00:00,5021,Rice,KG,95
01-04-2022 00:00,8451,Rice,KG,89
02-04-2022 00:00,3707,Rice,KG,141
03-04-2022 00:00,4522,Rice,KG,118
09-04-2022 00:00,1580,Rice,KG,144
11-04-2022 00:00,6299,Rice,KG,166
11-04-2022 00:00,10,Rice,KG,95
13-04-2022 00:00,4103,Rice,KG,117
14-04-2022 00:00,3359,Rice,KG,152
14-04-2022 00:00,908,Rice,KG,147
15-04-2022 00:00,2203,Rice,KG,112
16-04-2022 00:00,903,Rice,KG,125
17-04-2022 00:00,2324,Rice,KG,115
19-04-2022 00:00,1304,Rice,KG,112
21-04-2022 00:00,2366,Rice,KG,101
21-04-2022 00:00,2919,Rice,KG,143
22-04-2022 00:00,2993,Rice,KG,122
24-04-2022 00:00,2021,Rice,KG,143
24-04-2022 00:00,2112,Rice,KG,84
26-04-2022 00:00,5418,Rice,KG,140
29-04-2022 00:00,904,Rice,KG,176
01-05-2022 00:00,497,Rice,KG,103
01-05-2022 00:00,296,Rice,KG,102
05-05-2022 00:00,4718,Rice,KG,118
08-05-2022 00:00,7361,Rice,KG,136
14-05-2022 00:00,1552,Rice,KG,177
15-05-2022 00:00,2701,Rice,KG,157
15-05-2022 00:00,4571,Rice,KG,147
16-05-2022 00:00,3159,Rice,KG,144
18-05-2022 00:00,2917,Rice,KG,108
19-05-2022 00:00,265,Rice,KG,128
20-05-2022 00:00,1296,Rice,KG,99
22-05-2022 00:00,2944,Rice,KG,155
25-05-2022 00:00,2916,Rice,KG,157
25-05-2022 00:00,2712,Rice,KG,147
27-05-2022 00:00,832,Rice,KG,125
28-05-2022 00:00,2640,Rice,KG,80
31-05-2022 00:00,1240,Rice,KG,95
03-06-2022 00:00,830,Rice,KG,103
08-06-2022 00:00,1086,Rice,KG,154
10-06-2022 00:00,4321,Rice,KG,115
12-06-2022 00:00,8228,Rice,KG,93
12-06-2022 00:00,2183,Rice,KG,71
18-06-2022 00:00,2023,Rice,KG,129
22-06-2022 00:00,1269,Rice,KG,138
23-06-2022 00:00,2871,Rice,KG,100
29-06-2022 00:00,2248,Rice,KG,126
29-06-2022 00:00,26425,Rice,KG,120
01-07-2022 00:00,2202,Rice,KG,102
05-07-2022 00:00,1036,Rice,KG,122
06-07-2022 00:00,3362,Rice,KG,118
07-07-2022 00:00,1090,Rice,KG,82
10-07-2022 00:00,1931,Rice,KG,94
10-07-2022 00:00,1031,Rice,KG,150
12-07-2022 00:00,2788,Rice,KG,142
16-07-2022 00:00,1206,Rice,KG,178
16-07-2022 00:00,527,Rice,KG,75
18-07-2022 00:00,1203,Rice,KG,154
22-07-2022 00:00,5349,Rice,KG,72
27-07-2022 00:00,6235,Rice,KG,72
29-07-2022 00:00,1965,Rice,KG,90
30-07-2022 00:00,2628,Rice,KG,149
31-07-2022 00:00,471,Rice,KG,91
04-08-2022 00:00,3267,Rice,KG,71
05-08-2022 00:00,1231,Rice,KG,142
05-08-2022 00:00,3039,Rice,KG,146
09-08-2022 00:00,1127,Rice,KG,118
11-08-2022 00:00,4016,Rice,KG,155
15-08-2022 00:00,2186,Rice,KG,125
16-08-2022 00:00,1302,Rice,KG,123
18-08-2022 00:00,7728,Rice,KG,139
19-08-2022 00:00,2349,Rice,KG,149
20-08-2022 00:00,3639,Rice,KG,165
20-08-2022 00:00,648,Rice,KG,112
22-08-2022 00:00,808,Rice,KG,178
28-08-2022 00:00,2948,Rice,KG,146
28-08-2022 00:00,2115,Rice,KG,124
28-08-2022 00:00,3263,Rice,KG,146
31-08-2022 00:00,1387,Rice,KG,122
07-09-2022 00:00,4226,Rice,KG,139
10-09-2022 00:00,1947,Rice,KG,105
14-09-2022 00:00,3623,Rice,KG,100
18-09-2022 00:00,1485,Rice,KG,162
25-09-2022 00:00,3996,Rice,KG,77
26-09-2022 00:00,1953,Rice,KG,101
27-09-2022 00:00,3730,Rice,KG,73
03-10-2022 00:00,2297,Rice,KG,91
04-10-2022 00:00,1103,Rice,KG,109
06-10-2022 00:00,1260,Rice,KG,179
07-10-2022 00:00,2105,Rice,KG,92
17-10-2022 00:00,2406,Rice,KG,119
25-10-2022 00:00,3147,Rice,KG,90
25-10-2022 00:00,2470,Rice,KG,116
26-10-2022 00:00,8961,Rice,KG,168
27-10-2022 00:00,7698,Rice,KG,71
27-10-2022 00:00,3052,Rice,KG,97
31-10-2022 00:00,6870,Rice,KG,124
03-11-2022 00:00,364,Rice,KG,145
04-11-2022 00:00,1307,Rice,KG,128
05-11-2022 00:00,996,Rice,KG,99
06-11-2022 00:00,2,Rice,KG,104
06-11-2022 00:00,900,Rice,KG,76
08-11-2022 00:00,5707,Rice,KG,148
09-11-2022 00:00,912,Rice,KG,73
09-11-2022 00:00,2187,Rice,KG,146
13-11-2022 00:00,8623,Rice,KG,175
13-11-2022 00:00,4498,Rice,KG,105
14-11-2022 00:00,161,Rice,KG,149
15-11-2022 00:00,4447,Rice,KG,106
19-11-2022 00:00,920,Rice,KG,76
22-11-2022 00:00,3527,Rice,KG,135
23-11-2022 00:00,5502,Rice,KG,148
24-11-2022 00:00,4086,Rice,KG,114
27-11-2022 00:00,380,Rice,KG,174
30-11-2022 00:00,4415,Rice,KG,84
02-12-2022 00:00,7072,Rice,KG,109
03-12-2022 00:00,750,Rice,KG,176
06-12-2022 00:00,6791,Rice,KG,134
06-12-2022 00:00,3471,Rice,KG,94
08-12-2022 00:00,4896,Rice,KG,108
10-12-2022 00:00,933,Rice,KG,165
10-12-2022 00:00,4332,Rice,KG,177
11-12-2022 00:00,3448,Rice,KG,75
11-12-2022 00:00,1073,Rice,KG,162
13-12-2022 00:00,480,Rice,KG,123
17-12-2022 00:00,3671,Rice,KG,154
19-12-2022 00:00,4022,Rice,KG,107
22-12-2022 00:00,373,Rice,KG,100
23-12-2022 00:00,6979,Rice,KG,178
27-12-2022 00:00,1212,Rice,KG,122
27-12-2022 00:00,2005,Rice,KG,83
27-12-2022 00:00,4206,Rice,KG,142
12-02-2022 00:00,1196,Rice,KG,75
13-02-2022 00:00,85774,Rice,KG,111
24-02-2022 00:00,8665,Rice,KG,143
02-03-2022 00:00,1213,Rice,KG,117
18-03-2022 00:00,1270,Rice,KG,168
26-03-2022 00:00,5418,Rice,KG,168
19-04-2022 00:00,912,Rice,KG,101
30-04-2022 00:00,593,Rice,KG,80
14-05-2022 00:00,2355,Rice,KG,162
16-05-2022 00:00,3751,Rice,KG,72
08-06-2022 00:00,1198,Rice,KG,130
03-07-2022 00:00,32,Rice,KG,84
03-07-2022 00:00,293,Rice,KG,166
09-07-2022 00:00,260,Rice,KG,101
06-08-2022 00:00,1,Rice,KG,116
24-08-2022 00:00,2571,Rice,KG,147
31-08-2022 00:00,1210,Rice,KG,165
04-09-2022 00:00,3147,Rice,KG,74
11-09-2022 00:00,858,Rice,KG,154
28-09-2022 00:00,44191,Rice,KG,129
20-10-2022 00:00,1222,Rice,KG,107
02-11-2022 00:00,3578,Rice,KG,121
18-11-2022 00:00,1247,Rice,KG,75
23-11-2022 00:00,1527,Rice,KG,109
28-11-2022 00:00,733,Rice,KG,151
14-12-2022 00:00,1090,Rice,KG,166
23-12-2022 00:00,104913,Rice,KG,99
26-12-2022 00:00,1203,Rice,KG,98
14-03-2022 00:00,1307,Rice,KG,89
20-03-2022 00:00,235,Rice,KG,116
15-04-2022 00:00,2502,Rice,KG,141
21-04-2022 00:00,6333,Rice,KG,81
30-04-2022 00:00,4226,Rice,KG,98
03-05-2022 00:00,7090,Rice,KG,167
12-06-2022 00:00,1617,Rice,KG,85
10-07-2022 00:00,1060,Rice,KG,141
15-08-2022 00:00,1923,Rice,KG,75
19-08-2022 00:00,4973,Rice,KG,75
13-09-2022 00:00,1222,Rice,KG,172
05-10-2022 00:00,3793,Rice,KG,96
17-10-2022 00:00,8874,Rice,KG,134
26-11-2022 00:00,4306,Rice,KG,70
08-12-2022 00:00,32,Rice,KG,85
03-01-2022 00:00,1394,Rice,KG,149
03-01-2022 00:00,296,Rice,KG,161
06-01-2022 00:00,2093,Rice,KG,88
09-01-2022 00:00,2722,Rice,KG,141
10-01-2022 00:00,39,Rice,KG,85
11-01-2022 00:00,150,Rice,KG,134
12-01-2022 00:00,2571,Rice,KG,72
14-01-2022 00:00,1754,Rice,KG,176
19-01-2022 00:00,47,Rice,KG,87
25-01-2022 00:00,1806,Rice,KG,135
26-01-2022 00:00,230,Rice,KG,117
26-01-2022 00:00,736,Rice,KG,178
02-02-2022 00:00,1977,Rice,KG,171
05-02-2022 00:00,2046,Rice,KG,145
11-02-2022 00:00,1653,Rice,KG,148
12-02-2022 00:00,2640,Rice,KG,160
14-02-2022 00:00,1748,Rice,KG,99
18-02-2022 00:00,2881,Rice,KG,130
18-02-2022 00:00,539,Rice,KG,123
23-02-2022 00:00,653,Rice,KG,129
23-02-2022 00:00,6,Rice,KG,117
24-02-2022 00:00,1302,Rice,KG,103
26-02-2022 00:00,2707,Rice,KG,135
28-02-2022 00:00,3177,Rice,KG,91
28-02-2022 00:00,1264,Rice,KG,125
02-03-2022 00:00,2605,Rice,KG,169
04-03-2022 00:00,50,Rice,KG,149
05-03-2022 00:00,3238,Rice,KG,101
12-03-2022 00:00,1339,Rice,KG,158
13-03-2022 00:00,741,Rice,KG,145
24-03-2022 00:00,903,Rice,KG,82
24-03-2022 00:00,924,Rice,KG,84
26-03-2022 00:00,3053,Rice,KG,75
31-03-2022 00:00,223,Rice,KG,133
01-04-2022 00:00,2797,Rice,KG,159
02-04-2022 00:00,919,Rice,KG,119
04-04-2022 00:00,3147,Rice,KG,91
07-04-2022 00:00,2791,Rice,KG,157
10-04-2022 00:00,1625,Rice,KG,173
18-04-2022 00:00,3081,Rice,KG,134
21-04-2022 00:00,1975,Rice,KG,141
22-04-2022 00:00,1912,Rice,KG,128
24-04-2022 00:00,1407,Rice,KG,171
28-04-2022 00:00,1986,Rice,KG,95
30-04-2022 00:00,316,Rice,KG,166
07-05-2022 00:00,3176,Rice,KG,151
10-05-2022 00:00,592,Rice,KG,146
11-05-2022 00:00,1980,Rice,KG,123
14-05-2022 00:00,2231,Rice,KG,159
21-05-2022 00:00,778,Rice,KG,174
22-05-2022 00:00,358,Rice,KG,72
24-05-2022 00:00,2710,Rice,KG,81
25-05-2022 00:00,1387,Rice,KG,86
28-05-2022 00:00,104,Rice,KG,92
03-06-2022 00:00,3452,Rice,KG,140
08-06-2022 00:00,1961,Rice,KG,131
19-06-2022 00:00,1272,Rice,KG,77
21-06-2022 00:00,1909,Rice,KG,100
23-06-2022 00:00,1747,Rice,KG,175
23-06-2022 00:00,3107,Rice,KG,73
25-06-2022 00:00,2167,Rice,KG,75
26-06-2022 00:00,1888,Rice,KG,178
04-07-2022 00:00,1573,Rice,KG,110
10-07-2022 00:00,2987,Rice,KG,131
10-07-2022 00:00,3481,Rice,KG,126
12-07-2022 00:00,180,Rice,KG,141
17-07-2022 00:00,166,Rice,KG,155
21-07-2022 00:00,2021,Rice,KG,91
24-07-2022 00:00,2501,Rice,KG,86
25-07-2022 00:00,3173,Rice,KG,167
30-07-2022 00:00,76,Rice,KG,72
31-07-2022 00:00,899,Rice,KG,71
06-08-2022 00:00,2443,Rice,KG,122
06-08-2022 00:00,45,Rice,KG,153
08-08-2022 00:00,1672,Rice,KG,139
08-08-2022 00:00,785,Rice,KG,176
09-08-2022 00:00,3101,Rice,KG,80
09-08-2022 00:00,2959,Rice,KG,125
13-08-2022 00:00,2490,Rice,KG,77
16-08-2022 00:00,2340,Rice,KG,120
19-08-2022 00:00,1372,Rice,KG,109
20-08-2022 00:00,1101,Rice,KG,132
20-08-2022 00:00,2699,Rice,KG,75
21-08-2022 00:00,3409,Rice,KG,174
21-08-2022 00:00,1969,Rice,KG,154
25-08-2022 00:00,1037,Rice,KG,129
28-08-2022 00:00,2701,Rice,KG,136
28-08-2022 00:00,366,Rice,KG,137
01-09-2022 00:00,2719,Rice,KG,115
03-09-2022 00:00,1408,Rice,KG,155
15-09-2022 00:00,1639,Rice,KG,76
15-09-2022 00:00,1036,Rice,KG,164
26-09-2022 00:00,1073,Rice,KG,75
29-09-2022 00:00,2125,Rice,KG,145
05-10-2022 00:00,3113,Rice,KG,116
09-10-2022 00:00,2153,Rice,KG,133
09-10-2022 00:00,2807,Rice,KG,172
10-10-2022 00:00,457,Rice,KG,114
14-10-2022 00:00,2662,Rice,KG,145
18-10-2022 00:00,2273,Rice,KG,117
19-10-2022 00:00,2320,Rice,KG,116
20-10-2022 00:00,1682,Rice,KG,107
25-10-2022 00:00,553,Rice,KG,93
28-10-2022 00:00,2672,Rice,KG,166
31-10-2022 00:00,3827,Rice,KG,75
02-11-2022 00:00,1287,Rice,KG,97
03-11-2022 00:00,3864,Rice,KG,120
